,atletas.preco_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.media_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.atleta_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.status_id,atletas.pontos_num,atletas.foto,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,I,DE,GS,SG,PS,V,CV,DP,PC,PP,GC
70,4.4,Atlético-GO,6,2.8,0.0,,False,71038,Pedro Henrique,Pedro Henrique Pereira da Silva,373,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3,P. Henrique,16,pedro-henrique,,2.0,7.0,6.0,1.0,,2.0,,,,,,2.0,,,,,,,
71,4.8,Vasco,14,2.63,0.44,,True,71227,Maicon,Maicon Pereira Roque,267,7,5.9,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,3,Maicon,16,maicon,,3.0,12.0,8.0,1.0,1.0,6.0,,1.0,1.0,,,3.0,,,,,,,
72,4.89,São Paulo,10,2.53,-0.05,,True,71536,Luiz Gustavo,Luiz Gustavo Dias,276,3,2.2,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,4,L. Gustavo,16,luiz-gustavo,,3.0,15.0,14.0,6.0,6.0,5.0,,,,,,,,,,,,,
73,10.53,Palmeiras,16,5.1,-0.83,,True,71631,Weverton,Weverton Pereira da Silva,275,7,2.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,1,Weverton,16,weverton,1.0,1.0,1.0,,,,1.0,,,,48.0,12.0,8.0,,,,,,,
74,5.08,Vitória,7,3.02,-0.13,,True,71680,Raúl Cáceres,Raúl Alejandro Cáceres Bogado,287,6,1.5,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,2,R. Cáceres,16,raul-caceres,1.0,,10.0,6.0,,,2.0,,,1.0,,,1.0,,,,,,,
75,10.62,Palmeiras,8,5.6,0.51,,True,71684,Gustavo Gómez,Gustavo Raúl Gómez Portillo,275,7,8.4,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,3,G. Gómez,16,gustavo-gomez,2.0,3.0,7.0,12.0,1.0,7.0,5.0,,1.0,3.0,,,4.0,,,,,1.0,,1.0
76,5.58,Bahia,6,3.32,0.0,,False,71701,Santiago Arias,Santiago Arias Naranjo,265,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,2,S. Arias,16,santiago-arias,,1.0,5.0,6.0,,1.0,12.0,,,1.0,,,2.0,,,,,,,
77,5.14,Fluminense,5,3.48,0.0,,False,71898,Gabriel Pires,Gabriel Appelt Pires,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,4,G. Pires,16,gabriel-pires,,1.0,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,
78,8.14,Atlético-MG,9,2.27,0.0,,False,72294,Everson,Everson Felipe Marques Pires,282,5,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,1,Everson,16,everson,,3.0,,,,,3.0,,,,17.0,10.0,3.0,,,,,,,
79,5.0,Fluminense,0,0.0,0.0,,False,72372,Felipe Alves,Felipe Alves Raymundo,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,1,F. Alves,16,felipe-alves,,,,,,,,,,,,,,,,,,,,
80,5.0,Atlético-GO,0,0.0,0.0,,False,72497,Gustavo Campanharo,Gustavo Campanharo,373,5,0.0,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,4,G. Campanharo,16,gustavo-campanharo,,,,,,,,,,,,,,,,,,,,
81,4.73,Atlético-GO,12,2.75,0.0,,False,72532,Maguinho,Magno José da Silva,373,2,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,2,Maguinho,16,maguinho,1.0,1.0,14.0,15.0,2.0,5.0,9.0,,,1.0,,,2.0,,,1.0,,1.0,,
82,4.63,Corinthians,6,1.83,0.15,,True,72583,Pedro Henrique,Pedro Henrique Konzen Medina da Silva,264,6,1.8,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,5,P. Henrique,16,pedro-henrique,1.0,1.0,2.0,2.0,,3.0,6.0,,,2.0,,,,,,,,,,
83,3.0,Fortaleza,0,0.0,0.0,,False,72595,Maurício Kozlinski,Maurício Kozlinski,356,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,1,M. Kozlinski,16,mauricio-kozlinski,,,,,,,,,,,,,,,,,,,,
84,4.0,Bahia,0,0.0,0.0,,False,72605,Vitor Hugo,Vitor Hugo Franchescoli de Souza,265,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,3,V. Hugo,16,vitor-hugo,,,,,,,,,,,,,,,,,,,,
