,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
257,igor-vinicius,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,-0.86,0.5,Igor Vinícius,95466,276,Igor Vinícius de Souza,2,4.25,5.64,14,São Paulo,2,I. Vinícius,True,13,,20.0,9.0,1.0,1.0,20.0,1.0,,1.0,3.0,2.0,3.0,,,,,,,,1.0,
258,raniele,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,0.85,7.9,Raniele,95556,264,Raniele Almeida Melo,2,4.0,7.46,14,Corinthians,4,Raniele,True,13,,30.0,14.0,6.0,5.0,20.0,1.0,,,4.0,,,,,,,,,,,
259,lucas-kal,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Ho8rTXl.png,-1.02,1.7,Lucas Kal,95662,373,Lucas Kal Schenfeld Progioli,7,1.99,3.68,14,Atlético-GO,4,L. Kal,True,10,,11.0,7.0,1.0,2.0,4.0,,,,1.0,1.0,,,,,,,,,,
260,trauco,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,1.01,6.2,Trauco,95738,288,Miguel Ángel Trauco Saavedra,7,2.64,5.04,14,Criciúma,2,Trauco,True,7,,5.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,
261,tobias-figueiredo,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_GTVYOSI.png,0.0,0.0,Tobias Figueiredo,95878,288,Tobias Pereira Figueiredo,7,0.38,2.04,14,Criciúma,3,T. Figueiredo,False,5,,,3.0,1.0,2.0,4.0,,,,2.0,,,,,,,,,,,
262,machado,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_frORMmM.png,0.0,0.0,Machado,96089,283,Luiz Filipe da Rosa Machado - Felipe,6,0.13,2.37,14,Cruzeiro,4,Machado,False,4,,1.0,4.0,,,3.0,,,,1.0,,,,,,,,,,,
263,lima,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lwuhu7n.png,0.0,0.0,Lima,96340,266,Vinicius Moreira de Lima,5,3.86,7.62,14,Fluminense,4,Lima,False,9,,10.0,10.0,1.0,5.0,19.0,,2.0,,2.0,,,,,,,1.0,,,,
264,matheus-pereira,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_tZZNLQo.png,-0.9,3.8,Matheus Pereira,96610,283,Matheus Fellipe Costa Pereira,7,6.87,10.09,14,Cruzeiro,4,M. Pereira,True,12,,5.0,10.0,6.0,15.0,33.0,2.0,4.0,2.0,4.0,2.0,,,,,,,,,,
265,allan,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_j7yMylW.png,-0.45,1.6,Allan,96652,262,Allan Rodrigues de Souza,7,2.0,4.33,14,Flamengo,4,Allan,True,11,,17.0,12.0,2.0,1.0,10.0,,,,2.0,,,,,,1.0,,,,,
266,gabriel-milito,https://s.sde.globo.com/media/person_role/2024/03/24/photo_FORMATO.png,-0.22,3.44,Gabriel Milito,96673,282,Gabriel Alejandro Milito,7,4.95,8.63,14,Atlético-MG,6,G. Milito,True,13,,,,,,,,,,,,,,,,,,,,,4.0
267,bustos,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_4JN6eBb.png,0.0,0.0,Bustos,96678,285,Fabricio Tomás Bustos Sein,6,4.79,8.11,14,Internacional,2,Bustos,False,8,,15.0,7.0,,3.0,6.0,,,,3.0,,4.0,,,,,,,,,
268,saravia,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,0.0,0.0,Saravia,96725,282,Renzo Saravia,5,4.39,7.06,14,Atlético-MG,2,Saravia,False,10,,24.0,22.0,1.0,2.0,14.0,,,1.0,2.0,,3.0,,,,1.0,,,,,
269,camutanga,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_dArb0z1.png,0.0,0.0,Camutanga,96793,287,Cleidson Andrade da Souza Silva,5,0.63,2.34,14,Vitória,3,Camutanga,False,4,,3.0,3.0,1.0,2.0,2.0,,,,1.0,,,,,,,1.0,,,,
270,carlinhos,https://s.sde.globo.com/media/person_role/2024/05/13/photo_FORMATO_3NTjVXj.png,1.93,9.2,Carlinhos,96831,262,Carlos Moisés de Lima,6,2.55,4.15,14,Flamengo,5,Carlinhos,True,4,,,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,,
271,arthur-gomes,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_0C3TGei.png,0.18,3.8,Arthur Gomes,96966,283,Arthur Gomes Lourenço,7,2.79,5.47,14,Cruzeiro,5,A. Gomes,True,10,,5.0,10.0,6.0,3.0,8.0,,1.0,7.0,1.0,1.0,,,,,,,,,,
272,yony-gonzalez,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_1seH9AO.png,0.0,0.0,Yony González,97080,373,Jony Alexander González Copete,6,1.7,3.82,14,Atlético-GO,5,Y. González,False,3,,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
273,dudu,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VyiA44m.png,0.0,0.0,Dudu,97133,356,Luís Eduardo Marques dos Santos,6,0.5,3.81,14,Fortaleza,2,Dudu,False,1,,,,,,1.0,,,,,,,,,,,,,,,
274,villasanti,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_hHpUtkJ.png,0.0,0.0,Villasanti,97145,284,Mathías Adalberto Villasanti Rolón,7,3.66,8.93,14,Grêmio,4,Villasanti,False,5,,10.0,9.0,1.0,1.0,6.0,,,,1.0,1.0,,,,,,,,,,
275,rogerio-ceni,https://s.sde.globo.com/media/person_role/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,0.65,7.93,Rogério Ceni,97341,265,Rogério Mücke Ceni,7,5.41,10.05,14,Bahia,6,R. Ceni,True,13,,,,,,,,,,,,,,,,,,,,,7.0
276,romercio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_2Luig7d.png,0.0,0.0,Romércio,97443,286,Romércio Pereira da Conceição,6,0.0,3.0,14,Juventude,3,Romércio,False,0,,,,,,,,,,,,,,,,,,,,,
277,gustavo-mosquito,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_6NQENP4.png,0.0,0.0,Gustavo Mosquito,97450,264,Gustavo Henric da Silva,7,2.04,3.95,14,Corinthians,5,G. Mosquito,False,10,,4.0,5.0,,2.0,7.0,,1.0,,1.0,1.0,,,,,,,,,,
278,marcal,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_nKRokLk.png,-0.47,0.9,Marçal,97468,263,Fernando Marçal de Oliveira,6,1.5,4.38,14,Botafogo,2,Marçal,True,3,,2.0,2.0,1.0,,5.0,,,,1.0,,,,,,,,,,,
279,shaylon,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_6COfCnm.png,0.04,2.5,Shaylon,97520,373,Shaylon Kallyson Cardozo - Cardoso,7,2.62,5.0,14,Atlético-GO,4,Shaylon,True,13,,10.0,6.0,4.0,10.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,
280,willean-lepo,https://s.sde.globo.com/media/person_role/2024/06/26/photo_FORMATO.png,0.36,3.9,Willean Lepo,97522,287,William Bernardo Willemen - Willeam Lepu,7,3.75,5.16,14,Vitória,2,W. Lepo,True,10,,24.0,6.0,2.0,1.0,9.0,,,2.0,2.0,,1.0,,,,,,,,,
281,estupinan,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO.png,-0.38,0.0,Estupiñán,97547,265,Óscar Eduardo Estupiñán Vallesilla,6,3.56,5.24,14,Bahia,5,Estupiñán,True,10,,1.0,4.0,4.0,3.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,
282,culebra,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_xuxbOxr.png,0.0,0.0,Culebra,97640,287,Eryc Leonel Castillo Arroyo - Erick,6,1.33,2.03,14,Vitória,5,Culebra,False,7,,1.0,3.0,1.0,,,,1.0,2.0,,,,,,,,,,,,
283,felix-torres,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ZA5gyHo.png,0.0,0.0,Félix Torres,97642,264,Félix Eduardo Torres Caicedo,6,4.25,7.53,14,Corinthians,3,F. Torres,False,7,,11.0,7.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,,,,,,,,,
284,murilo,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_YJUCJBH.png,0.0,0.0,Murilo,97653,275,Murilo Cerqueira Paim,6,3.9,10.16,14,Palmeiras,3,Murilo,False,11,,11.0,14.0,1.0,6.0,2.0,,,1.0,3.0,,6.0,,,,,,,,,
285,reynaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_useyiNV.png,0.0,0.0,Reynaldo,97768,287,Reynaldo César Moraes,6,1.57,3.22,14,Vitória,3,Reynaldo,False,4,,6.0,3.0,,,,,,,,,,,,,,,,,,
286,erick,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_l7c3hxY.png,0.0,0.0,Erick,97810,276,Erick de Arruda Serafim,6,1.66,4.78,14,São Paulo,5,Erick,False,5,,2.0,2.0,,,5.0,,,,1.0,1.0,,,,,,,,,,
287,leo-ortiz,https://s.sde.globo.com/media/person_role/2024/05/13/photo_FORMATO_Nw5qKTd.png,1.01,7.1,Léo Ortiz,97867,262,Leonardo Rech Ortiz,6,3.16,8.24,14,Flamengo,3,L. Ortiz,True,9,,11.0,7.0,1.0,2.0,3.0,,,,2.0,1.0,2.0,,,,,,,,,
288,vitao,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_cgStWK5.png,0.0,0.0,Vitão,97900,285,Vitor Eduardo da Silva Matos,7,2.94,5.13,14,Internacional,3,Vitão,False,10,,7.0,11.0,2.0,3.0,5.0,,,,3.0,,4.0,,,,,,,,,
289,luis-oyama,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b9ZdFP4.png,0.0,0.0,Luís Oyama,97908,286,Luís Felipe Oyama,6,2.0,4.02,14,Juventude,4,L. Oyama,False,4,,4.0,,2.0,1.0,,,,,,,,,,,,,,,,
290,felipe-vieira,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_g3d23Nj.png,0.0,0.0,Felipe Vieira,97927,287,Felipe Vieira Augusto,6,0.0,2.0,14,Vitória,2,F. Vieira,False,0,,,,,,,,,,,,,,,,,,,,,
291,erick,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PzrcPox.png,-0.04,4.4,Erick,98022,293,Erick Luis Conrado de Carvalho,7,4.54,7.83,14,Athlético-PR,4,Erick,True,14,,32.0,17.0,3.0,9.0,13.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
292,pedro-raul,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_btuS15d.png,0.0,0.0,Pedro Raul,98225,264,Pedro Raul Garay da Silva,6,0.86,2.52,14,Corinthians,5,P. Raul,False,9,,5.0,8.0,2.0,,6.0,,,2.0,1.0,,,,,,,,,,,
293,bastos,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_sq29S9f.png,-0.97,1.2,Bastos,98280,263,Bartolomeu Jacinto Quissanga,7,4.38,5.47,14,Botafogo,3,Bastos,True,14,,14.0,12.0,,5.0,4.0,,3.0,,2.0,,4.0,,,,,,,,,
294,kanu,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OKP0vwQ.png,1.0,5.4,Kanu,98484,265,Victor Hugo Soares dos Santos,7,1.85,3.77,14,Bahia,3,Kanu,True,10,,5.0,12.0,1.0,,8.0,,,,4.0,,3.0,,,,,,,,,
295,jean-lucas,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Lb03bwo.png,1.16,10.6,Jean Lucas,98517,265,Jean Lucas de Souza Oliveira,7,5.04,8.37,14,Bahia,4,J. Lucas,True,13,,16.0,15.0,7.0,15.0,19.0,,1.0,1.0,2.0,3.0,,,,,,,,,,
296,kuscevic,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_XpAwacz.png,0.0,0.0,Kuscevic,98619,356,Benjamín Kuščević Jaramillo,6,5.57,6.99,14,Fortaleza,3,Kuscevic,False,3,,3.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
297,savarino,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_KxKxL8O.png,0.0,0.0,Savarino,98672,263,Jefferson David Savarino Quintero,6,3.95,6.81,14,Botafogo,5,Savarino,False,7,,1.0,4.0,4.0,2.0,3.0,,2.0,2.0,1.0,1.0,,,,,,,,,,
298,cuello,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_JnDE8PH.png,0.0,0.0,Cuello,98909,293,Tomás Esteban Cuello,5,4.24,6.28,14,Athlético-PR,5,Cuello,False,10,,7.0,9.0,6.0,8.0,9.0,2.0,1.0,4.0,,1.0,,,,,,,,,,
299,vina,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_Y6GueeQ.png,0.0,0.0,Viña,98974,262,Matías Nicolás Viña Susperreguy,6,0.7,5.65,14,Flamengo,2,Viña,False,4,,1.0,,,2.0,,,,,,,,,,,,,,,,
300,vegetti,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_fK3iFMZ.png,1.36,17.6,Vegetti,99198,267,Pablo Vegetti,7,6.96,14.24,14,Vasco,5,Vegetti,True,13,,3.0,18.0,11.0,22.0,35.0,1.0,6.0,11.0,3.0,,,,,,,,1.0,1.0,,
301,puma-rodriguez,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_WaoVDSt.png,0.78,4.7,Puma Rodríguez,99213,267,José Luis Rodríguez Bebanz,2,2.15,4.1,14,Vasco,2,P. Rodríguez,True,7,,4.0,2.0,,1.0,,,,,,,2.0,,,,,,,,,
302,de-la-cruz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_c5iH0Ku.png,0.0,0.0,De la Cruz,99228,262,Diego Nicolás de la Cruz Arcosa,6,9.31,14.07,14,Flamengo,4,D. Cruz,False,7,,17.0,10.0,5.0,6.0,18.0,1.0,2.0,,1.0,2.0,,,,,,,,,,
303,pochettino,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_up62cTi.png,-0.99,2.5,Pochettino,99267,356,Tomás Pochettino,6,5.11,7.92,14,Fortaleza,4,Pochettino,True,11,,17.0,8.0,3.0,7.0,8.0,,1.0,1.0,3.0,4.0,,,,,,,,,,
304,alexander-barboza,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_9Ge6HYf.png,0.0,0.0,Alexander Barboza,99274,263,Alexander Nahuel Barboza Ullúa,6,1.57,2.99,14,Botafogo,3,A. Barboza,False,6,,2.0,3.0,2.0,2.0,,,,1.0,3.0,,2.0,,,,,1.0,,,,
305,dinenno,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_2S2h9nH.png,0.0,0.0,Dinenno,99316,283,Juan Ignacio Dinenno de Cara,5,0.0,7.0,14,Cruzeiro,5,Dinenno,False,0,,,,,,,,,,,,,,,,,,,,,
306,luis-zubeldia,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_1Msj2GU.png,-0.22,5.45,Luis Zubeldía,99366,276,Luis Francisco Zubeldía,7,5.24,9.99,14,São Paulo,6,L. Zubeldía,True,11,,,,,,,,,,,,,,,,,,,,,6.0
307,robert-rojas,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_oeaxG9n.png,1.18,5.9,Robert Rojas,99387,267,Robert Samuel Rojas Chávez,7,2.67,4.12,14,Vasco,3,R. Rojas,True,3,,3.0,2.0,,,,,,,,,1.0,,,,,,,,,
308,baralhas,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_5FJVKbT.png,0.14,3.8,Baralhas,99440,373,Gabriel Baralhas dos Santos,6,3.68,5.55,14,Atlético-GO,4,Baralhas,True,11,,17.0,8.0,7.0,9.0,4.0,,1.0,1.0,3.0,,,,,,,,,,,
309,rossi,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_sM4o3AF.png,-0.61,0.0,Rossi,99552,262,Agustín Daniel Rossi,7,2.51,5.46,14,Flamengo,1,Rossi,True,14,,,,,,2.0,,,,,,3.0,33.0,,14.0,,,,,,
310,guilherme-romao,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_uJhNaxu.png,-0.56,0.4,Guilherme Romão,99623,373,Guilherme Kennedy Romão,7,4.03,4.53,14,Atlético-GO,2,G. Romão,True,12,,3.0,8.0,5.0,10.0,17.0,,1.0,3.0,3.0,2.0,2.0,,,,,,,,,
311,cifuentes,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_RifhGmS.png,0.0,0.0,Cifuentes,99766,283,José Adoni Cifuentes Charcopa,6,0.7,2.54,14,Cruzeiro,4,Cifuentes,False,3,,2.0,1.0,,,,,,,,,,,,,,,,,,
312,arias,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RYUmTsY.png,0.0,0.0,Arias,99815,266,Jhon Adolfo Arias Andrade,6,5.35,12.96,14,Fluminense,4,Arias,False,6,,13.0,6.0,5.0,6.0,17.0,,,,1.0,,,,,,,,,,,
313,paulinho,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_XppRgGL.png,-1.0,2.4,Paulinho,99818,282,Paulo Henrique Sampaio Filho,7,5.64,11.87,14,Atlético-MG,5,Paulinho,True,12,,10.0,7.0,9.0,4.0,8.0,,5.0,4.0,2.0,1.0,,,,,,1.0,,,,
314,alan-franco,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Oa1eUuU.png,0.04,2.4,Alan Franco,99889,276,Alan Javier Franco,7,3.66,6.86,14,São Paulo,3,A. Franco,True,10,,13.0,6.0,,3.0,3.0,,,1.0,3.0,1.0,4.0,,,,,,,,1.0,
315,zaracho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png,0.0,0.0,Zaracho,100079,282,Federico Matías Javier Zaracho,6,3.77,7.55,14,Atlético-MG,4,Zaracho,False,11,,15.0,10.0,2.0,4.0,12.0,,2.0,1.0,1.0,,,,,,,,,,,
316,igor-gomes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_UzfIqe6.png,-0.07,2.6,Igor Gomes,100084,282,Igor Silveira Gomes,7,2.75,5.22,14,Atlético-MG,4,I. Gomes,True,11,,10.0,12.0,3.0,3.0,12.0,1.0,,,3.0,2.0,,,,,,,,,,
317,pedro-augusto,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_omYwNQA.png,-0.15,2.4,Pedro Augusto,100085,356,Pedro Augusto Borges da Costa,7,2.32,3.72,14,Fortaleza,4,P. Augusto,True,11,,19.0,20.0,2.0,1.0,13.0,,,,6.0,1.0,,,,,,,,,,
318,segovia,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_TZ7Qc4F.png,0.0,0.0,Segovia,100453,263,Luis Geovanny Segovia Vega,6,0.0,3.0,14,Botafogo,3,Segovia,False,0,,,,,,,,,,,,,,,,,,,,,
319,yuri-alberto,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wt9arbZ.png,-0.8,-0.6,Yuri Alberto,100652,264,Yuri Alberto Monteiro da Silva,7,4.67,7.05,14,Corinthians,5,Y. Alberto,True,11,,11.0,13.0,5.0,12.0,14.0,1.0,2.0,5.0,4.0,1.0,,,,,,,,,,
320,matheus-henrique,https://s.sde.globo.com/media/person_role/2024/06/25/photo_220x220_gfmexdE.png,0.0,0.0,Matheus Henrique,100742,283,Matheus Henrique de Souza,6,0.0,7.0,14,Cruzeiro,4,M. Henrique,False,0,,,,,,,,,,,,,,,,,,,,,
321,lucas-esteves,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_Oqbbci1.png,0.32,3.7,Lucas Esteves,100846,287,Lucas Esteves de Souza,7,1.99,3.35,14,Vitória,2,L. Esteves,True,11,,9.0,8.0,3.0,6.0,7.0,,,4.0,3.0,1.0,,,,,,,,,,
322,luan-candido,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_DTpZOty.png,-0.29,1.2,Luan Cândido,100848,280,Luan Cândido de Almeida,7,3.13,5.15,14,Bragantino,3,L. Cândido,True,13,,19.0,26.0,1.0,9.0,5.0,,1.0,2.0,3.0,,2.0,,,,,,,,,
323,ronald-lopes,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_Nhk7IV4.png,-0.33,0.9,Ronald Lopes,100969,288,Ronald dos Santos Lopes,6,2.93,4.38,14,Criciúma,4,R. Lopes,True,7,,13.0,14.0,,2.0,9.0,,,,2.0,1.0,,,,,,,,,,
324,derek,https://s.sde.globo.com/media/person_role/2023/07/21/photo_220x220_Rr5xK7r.png,0.0,0.0,Derek,100976,373,Derek Freitas Ribeiro,6,2.14,3.74,14,Atlético-GO,5,Derek,False,8,,5.0,5.0,1.0,3.0,4.0,,1.0,,1.0,,,,,,,,,,,
325,junior-santos,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_GZeQZHl.png,0.13,1.8,Júnior Santos,101002,263,José Antonio dos Santos Júnior,6,4.62,8.03,14,Botafogo,5,J. Santos,True,13,,7.0,15.0,8.0,9.0,11.0,1.0,3.0,12.0,2.0,2.0,,,,,,,,,,
326,ferreira,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nPg7koa.png,0.11,11.1,Ferreira,101290,276,Aldemir dos Santos Ferreira,3,4.65,9.32,14,São Paulo,5,Ferreira,True,11,,7.0,7.0,3.0,1.0,13.0,,4.0,1.0,3.0,1.0,,,,,,,,,,
327,ademir,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_IWREALz.png,-0.27,0.5,Ademir,101314,265,Ademir da Silva Santos Júnior,6,2.38,4.27,14,Bahia,5,Ademir,True,12,,8.0,5.0,1.0,3.0,8.0,,1.0,2.0,,1.0,,,,,,,,,,
328,guga,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_k1fivRS.png,-1.72,0.9,Guga,101319,266,Cláudio Rodrigues Gomes,6,0.0,3.47,14,Fluminense,2,Guga,True,3,,2.0,3.0,,,1.0,,,,3.0,,,,,,,,,,,
329,danilo-boza,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b7q5w0V.png,-0.27,-0.3,Danilo Boza,101431,286,Danilo Boza Júnior,7,2.91,5.25,14,Juventude,3,D. Boza,True,11,,5.0,2.0,3.0,5.0,4.0,,1.0,,1.0,,2.0,,,,,,,,,
330,pepe,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_eQw4wlK.png,-0.32,3.2,Pepê,101573,284,João Pedro Vilardi Pinto,7,2.4,5.25,14,Grêmio,4,Pepê,True,5,,10.0,7.0,,2.0,7.0,,,,,,,,,,,1.0,,,,
331,hugo-souza,https://s.sde.globo.com/media/person_role/2024/07/03/photo_FORMATO.png,0.0,0.0,Hugo Souza,101574,264,Hugo de Souza Nogueira,6,0.0,7.0,14,Corinthians,1,H. Souza,False,0,,,,,,,,,,,,,,,,,,,,,
332,hugo-moura,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_jLwJb5G.png,0.15,3.3,Hugo Moura,101594,267,Hugo Moura Arruda da Silva,3,2.49,5.37,14,Vasco,4,H. Moura,True,8,,14.0,10.0,1.0,3.0,7.0,,,,3.0,1.0,,,,,,1.0,,,,
333,ramon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_j3eOqDC.png,-0.23,2.1,Ramon,101597,1371,Ramon Ramos Lima,7,4.24,5.67,14,Cuiabá,2,Ramon,True,8,,10.0,7.0,,1.0,7.0,,1.0,2.0,3.0,1.0,2.0,,,,,,,,,
334,caio-vinicius,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_fCg7WfQ.png,-0.03,0.7,Caio Vinícius,101601,287,Caio Vinicius da Conceição,3,0.62,2.12,14,Vitória,4,C. Vinícius,True,6,,6.0,6.0,,1.0,5.0,,,,5.0,,,,,,,,,,,
335,peixoto,https://s.sde.globo.com/media/person_role/2024/04/28/photo_220x220_WXuSK4t.png,-0.32,-0.1,Peixoto,101651,286,Daniel Nascimento Peixoto dos Santos,6,0.55,1.94,14,Juventude,4,Peixoto,True,2,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,
336,rhaldney,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VWBr2KD.png,0.0,0.0,Rhaldney,101666,373,Rhaldney Norberto Simião Gomes,6,2.12,3.29,14,Atlético-GO,4,Rhaldney,False,10,,20.0,15.0,1.0,,9.0,,,,4.0,,,,,,,,,,,
337,felipe-jonatan,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_ZDljmkA.png,-0.03,2.4,Felipe Jonatan,101708,356,Felipe Jonatan Rocha Andrade,6,3.2,5.85,14,Fortaleza,2,F. Jonatan,True,9,,6.0,3.0,1.0,1.0,11.0,,,,,,3.0,,,,,,,,,
338,alerrandro,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_v6x7rRS.png,2.47,17.7,Alerrandro,101715,287,Alerrandro Barra Mansa Realino de Souza,7,4.75,8.86,14,Vitória,5,Alerrandro,True,11,,11.0,6.0,6.0,6.0,18.0,,2.0,2.0,1.0,1.0,,,,,,,,,,
339,railan,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_glaRaXf.png,-0.69,1.9,Railan,101726,1371,Railan Reis Ferreira - Raylan,3,4.24,5.15,14,Cuiabá,2,Railan,True,7,,6.0,6.0,1.0,2.0,7.0,,,,2.0,2.0,2.0,,,,,,,,,
340,matheuzinho,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_Mq6sxK4.png,0.48,4.1,Matheuzinho,101727,264,Matheus França Silva,6,3.72,6.51,14,Corinthians,2,Matheuzinho,True,12,,20.0,6.0,1.0,4.0,10.0,,,,2.0,,3.0,,,,,,,,,
341,diego-costa,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ApqbX2X.png,-0.16,0.0,Diego Costa,101728,276,Diego Henrique Costa Barbosa,6,2.38,4.34,14,São Paulo,3,D. Costa,True,13,,11.0,15.0,2.0,1.0,2.0,,,,2.0,,4.0,,,,,,,,,
342,claudinho,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_6lSysiX.png,1.07,14.4,Claudinho,101752,288,Claudio Coelho Salvático,7,4.51,6.88,14,Criciúma,2,Claudinho,True,11,,16.0,4.0,1.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,
343,mayk,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_i2B5PuQ.png,0.0,0.0,Mayk,101820,284,Mayksilvan da Silva Ferreira,6,2.4,3.81,14,Grêmio,2,Mayk,False,2,,4.0,,,,,,,,,,,,,,,,,,,
