,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
39,rafael-cabral,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,0.0,0.0,Rafael Cabral,68940,284,Rafael Cabral Barbosa,6,1.33,6.43,14,Grêmio,1,R. Cabral,False,3,,,,,,,,,,,,,9.0,,5.0,,,,,,
40,marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,0.32,4.0,Marinho,68952,356,Mário Sérgio Santos Costa,7,2.2,4.81,14,Fortaleza,5,Marinho,True,6,,3.0,5.0,2.0,7.0,9.0,,,4.0,1.0,,,,,,,,,,,
41,marquinhos-gabriel,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,0.0,0.0,Marquinhos Gabriel,68954,288,Marcos Gabriel do Nascimento,6,1.14,3.23,14,Criciúma,4,M. Gabriel,False,9,,4.0,5.0,3.0,3.0,6.0,,,,2.0,,,,,,,,,,,
42,lucas-sasha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,0.57,7.4,Lucas Sasha,68991,356,Lucas Pacheco Affini,6,2.74,5.68,14,Fortaleza,4,L. Sasha,True,8,,20.0,17.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,
43,santos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0.0,0.0,Santos,69012,356,Aderbar Melo dos Santos Neto,6,0.0,8.0,14,Fortaleza,1,Santos,False,0,,,,,,,,,,,,,,,,,,,,,
44,manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,0.0,0.0,Manoel,69014,266,Manoel Messias Silva Carvalho,6,0.25,2.96,14,Fluminense,3,Manoel,False,6,,2.0,7.0,1.0,,2.0,,,,1.0,,,,,,,,,,,
45,muriel,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0.0,0.0,Muriel,69041,287,Muriel Gustavo Becker,6,0.0,4.0,14,Vitória,1,Muriel,False,0,,,,,,,,,,,,,,,,,,,,,
46,danilo-fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0.0,0.0,Danilo Fernandes,69051,265,Danilo Fernandes Batista,6,0.0,4.0,14,Bahia,1,D. Fernandes,False,0,,,,,,,,,,,,,,,,,,,,,
47,james-rodriguez,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,0.0,0.0,James Rodríguez,69063,276,James David Rodríguez Rubio,6,-0.05,4.84,14,São Paulo,4,J. Rodríguez,False,2,,,,,,,,,1.0,,,,,,,,,,,,
48,vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,0.1,2.2,Vargas,69102,282,Eduardo Jesús Vargas Rojas,6,4.96,5.75,14,Atlético-MG,5,Vargas,True,7,,2.0,2.0,2.0,4.0,3.0,,3.0,2.0,,,,,,,,,,2.0,,
49,pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,-0.23,-0.3,Pablo,69138,293,Pablo Felipe Teixeira,7,1.83,5.39,14,Athlético-PR,5,Pablo,True,12,,4.0,14.0,1.0,5.0,2.0,1.0,2.0,,4.0,,,,,,,,,,,
50,pablo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,0.0,0.0,Pablo,69165,263,Pablo Nascimento Castro,6,0.0,3.22,14,Botafogo,3,Pablo,False,1,,,,,,,,,,,,,,,,,,,,,
51,aranguiz,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,0.0,0.0,Aránguiz,69325,285,Charles Mariano Aránguiz Sandoval,6,0.53,3.76,14,Internacional,4,Aránguiz,False,7,,2.0,12.0,2.0,,3.0,1.0,,,2.0,,,,,,,,,,,
52,joao-pedro-galvao,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,-0.06,1.0,João Pedro Galvão,69686,284,João Pedro Geraldino dos Santos Galvão,6,1.0,3.06,14,Grêmio,5,J. Galvão,True,11,,2.0,13.0,3.0,3.0,15.0,,,,1.0,,,,,,,,,,,
53,nikao,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,0.0,0.0,Nikão,69705,293,Maycon Vinícius Ferreira da Cruz,5,5.32,8.81,14,Athlético-PR,4,Nikão,False,9,,13.0,1.0,6.0,10.0,19.0,,1.0,1.0,,,,,,,,,,,,
54,lucas-moura,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,-1.1,1.7,Lucas Moura,70164,276,Lucas Rodrigues Moura da Silva,7,5.79,13.93,14,São Paulo,4,L. Moura,True,8,,11.0,8.0,3.0,3.0,19.0,,2.0,,1.0,1.0,,,,,,,,,,
55,rafael,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0.0,0.0,Rafael,70171,263,Rafael Pereira da Silva,5,0.0,3.0,14,Botafogo,2,Rafael,False,0,,,,,,,,,,,,,,,,,,,,,
56,fabio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,0.0,0.0,Fábio,70172,284,Fábio Pereira da Silva,5,3.13,5.49,14,Grêmio,2,Fábio,False,7,,5.0,4.0,,2.0,9.0,1.0,,,1.0,,2.0,,,,1.0,,,,,
57,gustavo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,1.63,11.0,Gustavo,70216,288,Luiz Gustavo de Almeida Pinto,7,3.47,6.8,14,Criciúma,1,Gustavo,True,8,,,1.0,,,,,,,2.0,,2.0,26.0,1.0,10.0,,1.0,,,,
58,bruno-uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,0.0,0.0,Bruno Uvini,70221,287,Bruno Uvini Bortolança,7,0.67,2.87,14,Vitória,3,B. Uvini,False,4,,2.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,
59,diego-costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,0.0,0.0,Diego Costa,70316,284,Diego da Silva Costa,5,1.0,6.25,14,Grêmio,5,D. Costa,False,2,,2.0,,1.0,,3.0,,,1.0,,,,,,,,1.0,,,,
60,marchesin,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,-0.64,2.5,Marchesín,70332,284,Agustín Federico Marchesín,7,3.19,5.78,14,Grêmio,1,Marchesín,True,8,,,,,,1.0,,,,1.0,,3.0,18.0,,7.0,,,,,,
61,eduardo-sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,1.56,12.4,Eduardo Sasha,70360,280,Eduardo Colcenti Antunes,7,5.11,10.05,14,Bragantino,5,E. Sasha,True,9,,5.0,6.0,7.0,3.0,8.0,,2.0,,1.0,3.0,,,,,,1.0,,,,
62,gabriel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,0.61,5.0,Gabriel,70449,286,Gabriel Vasconcelos Ferreira,7,2.37,4.24,14,Juventude,1,Gabriel,True,11,,,,,,2.0,,,,3.0,,2.0,36.0,,18.0,,,,,,
63,marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,-0.71,0.9,Marllon,70666,1371,Marllon Gonçalves Jerônimo Borges,7,3.02,4.14,14,Cuiabá,3,Marllon,True,11,,13.0,9.0,2.0,1.0,4.0,,1.0,,2.0,,2.0,,,,1.0,,,,,
64,enner-valencia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,0.0,0.0,Enner Valencia,70788,285,Enner Remberto Valencia Lastra,6,0.5,15.47,14,Internacional,5,E. Valencia,False,1,,,,,,1.0,,,,,,,,,,,,,,,
65,diogo-barbosa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,-0.04,0.7,Diogo Barbosa,70916,266,Diogo Barbosa Mendanha,3,0.56,2.56,14,Fluminense,2,D. Barbosa,True,9,,5.0,5.0,,,7.0,,,,3.0,,,,,,,,,,,
66,bruno-henrique,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,-0.69,5.6,Bruno Henrique,70944,285,Bruno Henrique Corsini,7,3.24,6.34,14,Internacional,4,B. Henrique,True,12,,16.0,25.0,5.0,4.0,8.0,1.0,1.0,,2.0,1.0,,,,,,,,,,
67,jean-carlos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,-0.45,1.8,Jean Carlos,70958,286,Jean Carlos Vicente,7,5.04,8.56,14,Juventude,4,J. Carlos,True,8,,4.0,4.0,2.0,6.0,3.0,,3.0,,1.0,1.0,,,,,,,,,,
68,payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,-0.64,0.0,Payet,70984,267,Florent Dimitri Payet,6,3.46,6.04,14,Vasco,4,Payet,True,5,,2.0,1.0,1.0,,2.0,1.0,,,,2.0,,,,,,,,,,
69,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,0.0,0.0,Pedro Henrique,71038,373,Pedro Henrique Pereira da Silva,5,2.8,4.4,14,Atlético-GO,3,P. Henrique,False,6,,7.0,6.0,1.0,,2.0,,,,2.0,,2.0,,,,,,,,,
70,maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,0.35,3.7,Maicon,71227,267,Maicon Pereira Roque,3,2.38,4.36,14,Vasco,3,Maicon,True,13,,11.0,7.0,1.0,1.0,6.0,,1.0,1.0,3.0,,2.0,,,,,,,,,
