,atletas.foto,atletas.rodada_id,atletas.posicao_id,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.apelido,atletas.entrou_em_campo,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.status_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.preco_num,CA,DS,FC,FS,PC,A,FD,FF,FT,G,I,CV,SG,DE,GS,V,PP,PS,DP,GC
51,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,26,4,15,,293,Nikão,nikao,Maycon Vinícius Ferreira da Cruz,Nikão,False,0.0,4.92,0.0,6,69705,Athlético-PR,8.51,,15.0,5.0,22.0,,1.0,10.0,13.0,1.0,2.0,2.0,,,,,,,,,
52,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,26,4,17,,276,L. Moura,lucas-moura,Lucas Rodrigues Moura da Silva,Lucas Moura,False,0.0,6.3,0.0,7,70164,São Paulo,13.07,3.0,25.0,17.0,34.0,,3.0,7.0,6.0,,5.0,,,,,,,,,,
53,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,26,2,0,,263,Rafael,rafael,Rafael Pereira da Silva,Rafael,False,0.0,0.0,0.0,5,70171,Botafogo,3.0,,,,,,,,,,,,,,,,,,,,
54,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,26,2,12,,284,Fábio,fabio,Fábio Pereira da Silva,Fábio,False,0.0,3.04,0.0,5,70172,Grêmio,5.38,1.0,7.0,5.0,14.0,1.0,,,2.0,1.0,,,,4.0,,,,,,,
55,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,26,1,19,,288,Gustavo,gustavo,Luiz Gustavo de Almeida Pinto,Gustavo,True,0.0,2.74,0.06,7,70216,Criciúma,5.05,2.0,,1.0,1.0,,,,,,,,1.0,2.0,63.0,30.0,,,,2.0,
56,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,26,3,6,,287,B. Uvini,bruno-uvini,Bruno Uvini Bortolança,Bruno Uvini,False,0.0,0.48,0.0,6,70221,Vitória,2.22,1.0,2.0,2.0,1.0,,,,2.0,,,,,,,,,,,,
57,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,26,5,4,,284,D. Costa,diego-costa,Diego da Silva Costa,Diego Costa,True,0.0,0.52,-0.69,6,70316,Grêmio,4.93,1.0,3.0,2.0,4.0,,,1.0,,,,1.0,1.0,,,,,,,,
58,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,26,1,16,,284,Marchesín,marchesin,Agustín Federico Marchesín,Marchesín,True,1.5,4.11,-0.66,7,70332,Grêmio,6.21,2.0,1.0,,3.0,,,,,,,,,6.0,52.0,17.0,,,,,
59,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,26,5,14,,280,E. Sasha,eduardo-sasha,Eduardo Colcenti Antunes,Eduardo Sasha,True,10.0,4.48,1.1,7,70360,Bragantino,9.24,4.0,6.0,11.0,14.0,,3.0,10.0,10.0,,3.0,2.0,1.0,,,,,,,,
60,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,26,1,19,,286,Gabriel,gabriel,Gabriel Vasconcelos Ferreira,Gabriel,True,-1.0,2.81,-0.33,7,70449,Juventude,3.92,3.0,,1.0,3.0,,,,,,,,1.0,4.0,65.0,27.0,,,,,
61,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,26,4,9,,275,F. Anderson,felipe-anderson,Felipe Anderson Pereira Gomes,Felipe Anderson,True,14.2,5.75,1.84,7,70592,Palmeiras,10.77,,19.0,5.0,5.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,
62,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,26,3,20,,1371,Marllon,marllon,Marllon Gonçalves Jerônimo Borges,Marllon,True,0.0,2.55,-0.21,7,70666,Cuiabá,3.85,2.0,21.0,13.0,7.0,1.0,,2.0,6.0,1.0,1.0,,,2.0,,,,,1.0,,
63,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,26,5,8,,285,E. Valencia,enner-valencia,Enner Remberto Valencia Lastra,Enner Valencia,True,-0.1,2.37,-0.56,6,70788,Internacional,9.75,,4.0,4.0,9.0,,,4.0,4.0,1.0,,2.0,,,,,,,,,
