,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.atleta_id,atletas.foto,atletas.nome,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,PC,CV,DE,GS,PP,GC,DP
46,Athlético-PR,293,-0.4,Pablo,Pablo,69138,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo Felipe Teixeira,7,pablo,35,5,,True,24,2.35,5.25,-0.05,2.0,5.0,9.0,23.0,4.0,15.0,9.0,1.0,3.0,8.0,,,,,,,,,,
47,Botafogo,263,0.0,Allan,Allan,69140,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,Allan Marques Loureiro,6,allan,35,4,,False,10,1.79,5.06,0.0,1.0,2.0,12.0,10.0,,,7.0,,,,,,,,,,,,,
48,Botafogo,263,0.0,Pablo,Pablo,69165,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo Nascimento Castro,6,pablo,35,3,,False,1,0.0,3.22,0.0,,,,,,,,,,,,,,,,,,,,
49,Athlético-PR,293,8.7,Nikão,Nikão,69705,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,Maycon Vinícius Ferreira da Cruz,7,nikao,35,4,,True,21,5.9,10.01,0.29,2.0,,20.0,8.0,10.0,16.0,33.0,1.0,6.0,2.0,,,,,,,,,,
50,São Paulo,276,7.2,L. Moura,Lucas Moura,70164,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,Lucas Rodrigues Moura da Silva,7,lucas-moura,35,4,,True,26,7.4,14.41,-0.48,6.0,4.0,37.0,24.0,10.0,9.0,60.0,,10.0,,,,,,,,,,,
51,Botafogo,263,0.0,Rafael,Rafael,70171,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael Pereira da Silva,6,rafael,35,2,,False,0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
52,Grêmio,284,0.0,Fábio,Fábio,70172,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio Pereira da Silva,6,fabio,35,2,,False,12,2.79,5.0,0.0,,1.0,7.0,5.0,,2.0,14.0,1.0,,,,4.0,,1.0,1.0,,,,,
53,Criciúma,288,8.0,Gustavo,Gustavo,70216,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Luiz Gustavo de Almeida Pinto,7,gustavo,35,1,,True,27,3.47,6.51,0.9,,2.0,,1.0,1.0,,2.0,,,,,5.0,,,1.0,93.0,35.0,,,2.0
54,Vitória,287,0.0,B. Uvini,Bruno Uvini,70221,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,Bruno Uvini Bortolança,6,bruno-uvini,35,3,,False,6,0.48,2.22,0.0,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
55,Grêmio,284,0.5,D. Costa,Diego Costa,70316,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,Diego da Silva Costa,6,diego-costa,35,5,,True,9,1.95,4.86,-0.59,1.0,3.0,4.0,7.0,3.0,,9.0,,1.0,2.0,,,,,1.0,,,,,
56,Grêmio,284,1.5,Marchesín,Marchesín,70332,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Agustín Federico Marchesín,7,marchesin,35,1,,True,22,4.49,6.58,-0.67,,3.0,1.0,,,,5.0,,,,,7.0,,,,73.0,24.0,,,2.0
57,Bragantino,280,2.0,E. Sasha,Eduardo Sasha,70360,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,Eduardo Colcenti Antunes,7,eduardo-sasha,35,5,,True,22,4.34,8.09,-1.11,3.0,6.0,8.0,16.0,17.0,17.0,32.0,1.0,4.0,3.0,,,,,1.0,,,,,
58,Juventude,286,-1.0,Gabriel,Gabriel,70449,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel Vasconcelos Ferreira,6,gabriel,35,1,,True,27,2.1,3.55,-0.16,,4.0,,1.0,,,4.0,,,,,4.0,,1.0,1.0,84.0,41.0,,,
59,Palmeiras,275,6.2,F. Anderson,Felipe Anderson,70592,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,Felipe Anderson Pereira Gomes,6,felipe-anderson,35,4,,True,17,5.13,9.51,0.54,2.0,,39.0,10.0,3.0,7.0,10.0,1.0,2.0,1.0,,,,,,,,,,
60,Cuiabá,1371,1.7,Marllon,Marllon,70666,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon Gonçalves Jerônimo Borges,7,marllon,35,3,,True,27,2.87,4.34,0.24,,3.0,27.0,18.0,3.0,6.0,10.0,1.0,1.0,,1.0,6.0,,2.0,,,,,,
61,Internacional,285,3.0,E. Valencia,Enner Valencia,70788,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,Enner Remberto Valencia Lastra,7,enner-valencia,35,5,,True,16,1.55,8.29,0.27,,1.0,4.0,7.0,5.0,6.0,13.0,2.0,,3.0,,,,,,,,,,
62,Fluminense,266,7.9,D. Barbosa,Diogo Barbosa,70916,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,Diogo Barbosa Mendanha,7,diogo-barbosa,35,2,,True,19,2.7,4.65,0.66,,6.0,18.0,13.0,,2.0,16.0,,,,,6.0,,,,,,,,
63,Internacional,285,-1.6,B. Henrique,Bruno Henrique,70944,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,Bruno Henrique Corsini,7,bruno-henrique,35,4,,True,29,2.64,4.94,-0.65,1.0,4.0,33.0,45.0,10.0,13.0,17.0,1.0,2.0,1.0,,,,,,,,,,
64,Juventude,286,0.5,J. Carlos,Jean Carlos,70958,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,Jean Carlos Vicente,6,jean-carlos,35,4,,True,19,2.93,6.93,0.02,1.0,3.0,7.0,13.0,5.0,10.0,7.0,,4.0,1.0,,,,,,,,,,
65,Vasco,267,0.0,Payet,Payet,70984,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Florent Dimitri Payet,7,payet,35,4,,True,19,3.61,5.95,-0.39,3.0,1.0,10.0,8.0,2.0,6.0,22.0,1.0,3.0,2.0,,,,,,,,,,
66,Atlético-GO,373,0.0,P. Henrique,Pedro Henrique,71038,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,Pedro Henrique Pereira da Silva,6,pedro-henrique,35,3,,False,9,3.02,4.73,0.0,,3.0,11.0,8.0,2.0,,4.0,,,,,3.0,,,,,,,,
67,Vasco,267,1.7,Maicon,Maicon,71227,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon Pereira Roque,6,maicon,35,3,,True,30,2.52,4.25,0.11,,5.0,33.0,12.0,1.0,2.0,8.0,,1.0,1.0,,6.0,,,,,,,,
68,São Paulo,276,5.1,L. Gustavo,Luiz Gustavo,71536,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,Luiz Gustavo Dias,7,luiz-gustavo,35,4,,True,26,3.27,5.6,-0.41,1.0,3.0,38.0,34.0,11.0,11.0,24.0,2.0,1.0,,,,,,,,,,,
69,Palmeiras,275,7.5,Weverton,Weverton,71631,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton Pereira da Silva,6,weverton,35,1,,True,33,5.08,10.78,0.71,1.0,2.0,1.0,,,,9.0,,,,,15.0,,,,110.0,26.0,,,
70,Vitória,287,0.0,R. Cáceres,Raúl Cáceres,71680,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,Raúl Alejandro Cáceres Bogado,7,raul-caceres,35,2,,True,20,3.45,5.31,-0.61,2.0,2.0,28.0,20.0,,2.0,4.0,,,3.0,,6.0,,,,,,,,
71,Palmeiras,275,7.2,G. Gómez,Gustavo Gómez,71684,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,Gustavo Raúl Gómez Portillo,6,gustavo-gomez,35,3,,True,24,4.1,9.07,0.92,2.0,7.0,26.0,37.0,1.0,13.0,21.0,,1.0,7.0,,10.0,,1.0,,,,,1.0,
72,Bahia,265,0.0,S. Arias,Santiago Arias,71701,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,Santiago Arias Naranjo,7,santiago-arias,35,2,,False,20,3.99,6.14,0.0,1.0,2.0,30.0,22.0,2.0,6.0,20.0,,,4.0,,7.0,,1.0,1.0,,,,,
73,Fluminense,266,0.0,G. Pires,Gabriel Pires,71898,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,Gabriel Appelt Pires,6,gabriel-pires,35,4,,False,5,3.48,5.14,0.0,,1.0,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,
