,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
66,Bruno Henrique Corsini,B. Henrique,0.73,Bruno Henrique,Internacional,True,2.55,4.7,10,4,7,285,8,70944,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,6.04,bruno-henrique,,,,1.0,,,13.0,20.0,2.0,3.0,4.0,,,,1.0,,,,,
67,Jean Carlos Vicente,J. Carlos,1.25,Jean Carlos,Juventude,True,8.68,9.2,10,4,6,286,4,70958,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,11.1,jean-carlos,,,,1.0,,,4.0,2.0,1.0,1.0,1.0,3.0,,,1.0,,,,,
68,Florent Dimitri Payet,Payet,0.0,Payet,Vasco,False,5.77,0.0,10,4,6,267,3,70984,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,7.23,payet,,,,,,,2.0,1.0,1.0,,2.0,,,1.0,2.0,,,,,
69,Pedro Henrique Pereira da Silva,P. Henrique,-0.81,Pedro Henrique,Atlético-GO,True,2.12,-1.0,10,3,7,373,5,71038,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3.18,pedro-henrique,,,1.0,2.0,,,6.0,6.0,1.0,,2.0,,,,,,,,,
70,Maicon Pereira Roque,Maicon,-0.08,Maicon,Vasco,True,2.73,3.6,10,3,7,267,9,71227,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,4.58,maicon,,,1.0,1.0,,,8.0,3.0,1.0,1.0,4.0,1.0,1.0,,,,,,,
71,Luiz Gustavo Dias,L. Gustavo,-0.76,Luiz Gustavo,São Paulo,True,1.45,0.8,10,4,7,276,4,71536,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,4.64,luiz-gustavo,,,,1.0,,,5.0,4.0,1.0,1.0,,,,,,,,,,
72,Weverton Pereira da Silva,Weverton,-0.18,Weverton,Palmeiras,True,5.6,6.0,10,1,7,275,10,71631,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,11.63,weverton,27.0,5.0,6.0,1.0,,,,,,,,,,,1.0,,,,,
73,Raúl Alejandro Cáceres Bogado,R. Cáceres,3.06,Raúl Cáceres,Vitória,True,8.6,8.6,10,2,6,287,1,71680,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,6.06,raul-caceres,,,,,,,3.0,,,,,,,,1.0,,,,,
74,Gustavo Raúl Gómez Portillo,G. Gómez,0.0,Gustavo Gómez,Palmeiras,False,5.02,0.0,10,3,6,275,6,71684,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,10.8,gustavo-gomez,,,3.0,3.0,,1.0,6.0,11.0,1.0,4.0,2.0,1.0,2.0,,1.0,,,,,1.0
75,Santiago Arias Naranjo,S. Arias,0.0,Santiago Arias,Bahia,False,3.32,0.0,10,2,6,265,6,71701,,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,5.58,santiago-arias,,,2.0,1.0,,,5.0,6.0,,1.0,12.0,,1.0,,,,,,,
76,Gabriel Appelt Pires,G. Pires,0.21,Gabriel Pires,Fluminense,True,1.5,1.5,10,4,6,266,1,71898,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,4.21,gabriel-pires,,,,,,,,,,,3.0,,,,,,,,,
77,Everson Felipe Marques Pires,Everson,-1.28,Everson,Atlético-MG,True,2.43,-3.0,10,1,7,282,8,72294,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,8.0,everson,15.0,9.0,3.0,3.0,,,,,,,3.0,,,,,,,,,
78,Felipe Alves Raymundo,F. Alves,0.0,Felipe Alves,Fluminense,False,0.0,0.0,10,1,6,266,0,72372,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,5.0,felipe-alves,,,,,,,,,,,,,,,,,,,,
79,Fernando Diniz Silva,F. Diniz,-0.17,Fernando Diniz,Fluminense,True,3.68,2.21,10,6,7,266,9,72391,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,8.9,fernando-diniz,,,,,,,,,,,,,,,,,,,1.0,
80,Gustavo Campanharo,G. Campanharo,0.0,Gustavo Campanharo,Atlético-GO,False,0.0,0.0,10,4,5,373,0,72497,,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,5.0,gustavo-campanharo,,,,,,,,,,,,,,,,,,,,
81,Magno José da Silva,Maguinho,0.28,Maguinho,Atlético-GO,True,3.43,3.7,10,2,7,373,7,72532,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,5.29,maguinho,,,1.0,,,1.0,11.0,5.0,1.0,2.0,7.0,,,,1.0,1.0,,,,
82,Pedro Henrique Konzen Medina da Silva,P. Henrique,0.0,Pedro Henrique,Corinthians,False,1.4,0.0,10,5,6,264,2,72583,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,5.32,pedro-henrique,,,,1.0,,,2.0,1.0,,1.0,2.0,,1.0,,,,,,,
83,Maurício Kozlinski,M. Kozlinski,0.0,Maurício Kozlinski,Fortaleza,False,0.0,0.0,10,1,6,356,0,72595,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,3.0,mauricio-kozlinski,,,,,,,,,,,,,,,,,,,,
84,Vitor Hugo Franchescoli de Souza,V. Hugo,0.0,Vitor Hugo,Bahia,False,0.0,0.0,10,3,6,265,0,72605,,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,4.0,vitor-hugo,,,,,,,,,,,,,,,,,,,,
