,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
46,69138,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,0.0,293,Athlético-PR,pablo,,23,Pablo Felipe Teixeira,5.3,7,False,Pablo,34,0.0,Pablo,2.47,5,2.0,5.0,9.0,22.0,4.0,15.0,9.0,1.0,3.0,7.0,,,,,,,,,,
47,69140,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,0.0,263,Botafogo,allan,,10,Allan Marques Loureiro,5.06,6,False,Allan,34,0.0,Allan,1.79,4,1.0,2.0,12.0,10.0,,,7.0,,,,,,,,,,,,,
48,69165,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,0.0,263,Botafogo,pablo,,1,Pablo Nascimento Castro,3.22,6,False,Pablo,34,0.0,Pablo,0.0,3,,,,,,,,,,,,,,,,,,,,
49,69705,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,8.0,293,Athlético-PR,nikao,,20,Maycon Vinícius Ferreira da Cruz,9.72,7,True,Nikão,34,0.73,Nikão,5.76,4,2.0,,20.0,6.0,10.0,15.0,32.0,1.0,5.0,2.0,,,,,,,,,,
50,70164,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,12.1,276,São Paulo,lucas-moura,,25,Lucas Rodrigues Moura da Silva,14.89,7,True,Lucas Moura,34,0.45,L. Moura,7.41,4,5.0,4.0,36.0,24.0,10.0,9.0,58.0,,10.0,,,,,,,,,,,
51,70171,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0.0,263,Botafogo,rafael,,0,Rafael Pereira da Silva,3.0,6,False,Rafael,34,0.0,Rafael,0.0,2,,,,,,,,,,,,,,,,,,,,
52,70172,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,0.0,284,Grêmio,fabio,,12,Fábio Pereira da Silva,5.0,6,False,Fábio,34,0.0,Fábio,2.79,2,,1.0,7.0,5.0,,2.0,14.0,1.0,,,,1.0,4.0,1.0,,,,,,
53,70216,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,2.2,288,Criciúma,gustavo,,26,Luiz Gustavo de Almeida Pinto,5.61,6,True,Gustavo,34,-0.27,Gustavo,3.3,1,,2.0,,1.0,1.0,,2.0,,,,,1.0,4.0,,,,90.0,35.0,,2.0
54,70221,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,0.0,287,Vitória,bruno-uvini,,6,Bruno Uvini Bortolança,2.22,6,False,Bruno Uvini,34,0.0,B. Uvini,0.48,3,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
55,70316,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,4.6,284,Grêmio,diego-costa,,8,Diego da Silva Costa,5.45,6,True,Diego Costa,34,0.35,D. Costa,2.13,5,1.0,3.0,4.0,7.0,3.0,,8.0,,1.0,2.0,,1.0,,,,,,,,
56,70332,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,7.0,284,Grêmio,marchesin,,21,Agustín Federico Marchesín,7.25,7,True,Marchesín,34,-0.27,Marchesín,4.63,1,,3.0,1.0,,,,4.0,,,,,,7.0,,,,71.0,23.0,,2.0
