,atletas.atleta_id,atletas.clube.id.full.name,atletas.foto,atletas.variacao_num,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.slug,atletas.pontos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,G,I,SG,DP,PC,FT,PP,PS,CV,V,GC
65,70916,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,-0.38,Diogo Barbosa,D. Barbosa,0.33,3,True,266,Diogo Barbosa Mendanha,7,3.57,,6,2,diogo-barbosa,0.9,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,,,
66,70944,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,-0.52,Bruno Henrique,B. Henrique,3.0,5,True,285,Bruno Henrique Corsini,7,5.96,,6,4,bruno-henrique,0.7,,,1.0,,8.0,13.0,1.0,2.0,3.0,,,,,,,,,,,
67,70958,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,0.0,Jean Carlos,J. Carlos,8.5,3,False,286,Jean Carlos Vicente,7,9.85,,5,4,jean-carlos,0.0,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,
68,70984,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,-1.59,Payet,Payet,5.77,3,True,267,Florent Dimitri Payet,7,7.23,,7,4,payet,0.2,,,2.0,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,
69,71038,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,0.94,Pedro Henrique,P. Henrique,2.9,3,True,373,Pedro Henrique Pereira da Silva,7,4.07,,6,3,pedro-henrique,5.0,,,,1.0,3.0,2.0,1.0,,1.0,,,1.0,,,,,,,,
70,71227,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,-1.0,Maicon,Maicon,2.43,6,True,267,Maicon Pereira Roque,7,4.06,,7,3,maicon,1.2,,,,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,
71,71536,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,-0.61,Luiz Gustavo,L. Gustavo,0.0,1,True,276,Luiz Gustavo Dias,7,5.39,,7,4,luiz-gustavo,0.0,,,,,,,,,,,,,,,,,,,,
72,71631,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,-0.52,Weverton,Weverton,5.0,7,True,275,Weverton Pereira da Silva,7,10.93,,7,1,weverton,2.0,20.0,4.0,,1.0,,,,,,,,4.0,,,,,,,,
73,71680,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,0.0,Raúl Cáceres,R. Cáceres,0.0,0,False,287,Raúl Alejandro Cáceres Bogado,7,3.0,,6,2,raul-caceres,0.0,,,,,,,,,,,,,,,,,,,,
74,71684,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,2.01,Gustavo Gómez,G. Gómez,5.02,6,True,275,Gustavo Raúl Gómez Portillo,7,10.8,,3,3,gustavo-gomez,12.6,,,1.0,3.0,6.0,11.0,1.0,4.0,2.0,1.0,2.0,3.0,,1.0,,,,,,1.0
75,71701,Bahia,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,-0.89,Santiago Arias,S. Arias,3.32,6,True,265,Santiago Arias Naranjo,7,5.58,,7,2,santiago-arias,1.0,,,,1.0,5.0,6.0,,1.0,12.0,,1.0,2.0,,,,,,,,
76,71898,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,0.0,Gabriel Pires,G. Pires,0.0,0,False,266,Gabriel Appelt Pires,7,4.0,,6,4,gabriel-pires,0.0,,,,,,,,,,,,,,,,,,,,
77,72294,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,-0.56,Everson,Everson,3.25,6,True,282,Everson Felipe Marques Pires,7,9.06,,7,1,everson,-0.5,9.0,4.0,,2.0,,,,,3.0,,,3.0,,,,,,,,
78,72372,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0.0,Felipe Alves,F. Alves,0.0,0,False,266,Felipe Alves Raymundo,7,5.0,,6,1,felipe-alves,0.0,,,,,,,,,,,,,,,,,,,,
79,72391,Fluminense,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,-0.15,Fernando Diniz,F. Diniz,4.36,6,True,266,Fernando Diniz Silva,7,9.63,,7,6,fernando-diniz,3.28,,,,,,,,,,,,,,,,,,,1.0,
80,72497,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,0.0,Gustavo Campanharo,G. Campanharo,0.0,0,False,373,Gustavo Campanharo,7,5.0,,5,4,gustavo-campanharo,0.0,,,,,,,,,,,,,,,,,,,,
81,72532,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,2.09,Maguinho,Maguinho,3.93,4,True,373,Magno José da Silva,7,6.06,,7,2,maguinho,10.6,,,1.0,,6.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,
82,72583,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,0.0,Pedro Henrique,P. Henrique,1.4,2,False,264,Pedro Henrique Konzen Medina da Silva,7,5.32,,6,5,pedro-henrique,0.0,,,,1.0,2.0,1.0,,1.0,2.0,,1.0,,,,,,,,,
83,72595,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,0.0,Maurício Kozlinski,M. Kozlinski,0.0,0,False,356,Maurício Kozlinski,7,3.0,,6,1,mauricio-kozlinski,0.0,,,,,,,,,,,,,,,,,,,,
84,72772,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,0.0,Luiz Adriano,L. Adriano,0.38,4,False,287,Luiz Adriano de Souza da Silva,7,3.12,,6,5,luiz-adriano,0.0,,,,,,2.0,1.0,,2.0,,1.0,,,,,,,,,
85,72775,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,0.0,Fernandinho,Fernandinho,2.73,6,False,293,Fernando Luiz Rosa,7,6.86,,7,4,fernandinho,0.0,,,1.0,3.0,6.0,7.0,4.0,,9.0,,,,,,,,,,,
86,72801,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,0.08,Wilker Ángel,W. Ángel,2.33,3,True,288,Wílker José Ángel Romero,7,3.37,,6,3,wilker-angel,2.1,,,,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,,
