,atletas.atleta_id,atletas.apelido,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.status_id,atletas.preco_num,atletas.nome,atletas.media_num,atletas.foto,atletas.posicao_id,atletas.clube_id,atletas.slug,CA,DS,FC,FF,FS,FT,I,A,FD,G,PP,SG,CV,PC,PS,GC,V,DE,GS,DP
36,68928,Rafael,0.64,24,,True,São Paulo,4.0,36,Rafael,7,6.72,Rafael Pires Monteiro,3.21,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1,276,rafael,1.0,,,,2.0,,,,,,,8.0,,,,,,62.0,25.0,
37,68940,Rafael Cabral,0.0,6,,False,Grêmio,0.0,36,R. Cabral,6,5.34,Rafael Cabral Barbosa,2.08,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,1,284,rafael-cabral,,,,,1.0,,,,,,,1.0,,,,,,15.0,8.0,
38,68952,Marinho,-0.84,19,,True,Fortaleza,1.0,36,Marinho,7,6.23,Mário Sérgio Santos Costa,4.86,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,5,356,marinho,4.0,25.0,28.0,17.0,50.0,,8.0,1.0,9.0,3.0,,,1.0,,,,,,,
39,68954,Marquinhos Gabriel,0.0,22,,False,Criciúma,0.0,36,M. Gabriel,6,2.91,Marcos Gabriel do Nascimento,0.99,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,4,288,marquinhos-gabriel,3.0,10.0,7.0,6.0,11.0,,3.0,,4.0,,,,,,,,,,,
40,68991,Lucas Sasha,0.0,18,,False,Fortaleza,0.0,36,L. Sasha,6,6.5,Lucas Pacheco Affini,3.57,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,4,356,lucas-sasha,2.0,53.0,33.0,1.0,19.0,,,,2.0,,,,,,,,,,,
41,69012,Santos,0.0,0,,False,Fortaleza,0.0,36,Santos,6,8.0,Aderbar Melo dos Santos Neto,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,1,356,santos,,,,,,,,,,,,,,,,,,,,
42,69014,Manoel,0.0,10,,False,Fluminense,0.0,36,Manoel,6,3.51,Manoel Messias Silva Carvalho,1.55,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,3,266,manoel,2.0,6.0,8.0,,3.0,,,,1.0,,,2.0,,,,,,,,
43,69041,Muriel,0.0,1,,False,Vitória,0.0,36,Muriel,6,5.94,Muriel Gustavo Becker,6.5,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,1,287,muriel,2.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,
44,69051,Danilo Fernandes,0.0,0,,False,Bahia,0.0,36,D. Fernandes,6,3.54,Danilo Fernandes Batista,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,1,265,danilo-fernandes,1.0,,,,,,,,,,,,,,,,,,,
45,69102,Vargas,0.0,20,,False,Atlético-MG,0.0,36,Vargas,6,5.94,Eduardo Jesús Vargas Rojas,4.57,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5,282,vargas,1.0,8.0,7.0,7.0,20.0,,6.0,1.0,5.0,7.0,,,,,3.0,,,,,
46,69138,Pablo,-0.02,25,,True,Athlético-PR,0.0,36,Pablo,7,5.23,Pablo Felipe Teixeira,2.26,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5,293,pablo,5.0,9.0,23.0,15.0,9.0,1.0,8.0,2.0,4.0,3.0,,,,,,,,,,
47,69140,Allan,0.0,10,,False,Botafogo,0.0,36,Allan,6,5.06,Allan Marques Loureiro,1.79,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,4,263,allan,2.0,12.0,10.0,,7.0,,,1.0,,,,,,,,,,,,
48,69165,Pablo,0.0,1,,False,Botafogo,0.0,36,Pablo,6,3.22,Pablo Nascimento Castro,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3,263,pablo,,,,,,,,,,,,,,,,,,,,
49,69705,Nikão,-0.69,22,,True,Athlético-PR,3.4,36,Nikão,7,9.32,Maycon Vinícius Ferreira da Cruz,5.79,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,4,293,nikao,,22.0,10.0,18.0,33.0,1.0,2.0,2.0,10.0,6.0,,,,,,,,,,
50,70164,Lucas Moura,-0.52,27,,True,São Paulo,3.6,36,L. Moura,7,13.89,Lucas Rodrigues Moura da Silva,7.26,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,4,276,lucas-moura,4.0,39.0,25.0,9.0,63.0,,,6.0,10.0,10.0,,,,,,,,,,
51,70171,Rafael,0.0,0,,False,Botafogo,0.0,36,Rafael,6,3.0,Rafael Pereira da Silva,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,2,263,rafael,,,,,,,,,,,,,,,,,,,,
52,70172,Fábio,0.0,12,,False,Grêmio,0.0,36,Fábio,6,5.0,Fábio Pereira da Silva,2.79,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,2,284,fabio,1.0,7.0,5.0,2.0,14.0,1.0,,,,,,4.0,1.0,1.0,,,,,,
53,70216,Gustavo,-0.63,28,,True,Criciúma,3.0,36,Gustavo,7,5.88,Luiz Gustavo de Almeida Pinto,3.45,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,1,288,gustavo,2.0,,1.0,,2.0,,,,1.0,,,5.0,1.0,,,,,100.0,39.0,2.0
54,70221,Bruno Uvini,0.0,6,,False,Vitória,0.0,36,B. Uvini,6,2.22,Bruno Uvini Bortolança,0.48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,3,287,bruno-uvini,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
55,70316,Diego Costa,0.0,9,,False,Grêmio,0.0,36,D. Costa,6,4.86,Diego da Silva Costa,1.95,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,5,284,diego-costa,3.0,4.0,7.0,,9.0,,2.0,1.0,3.0,1.0,,,1.0,,,,,,,
56,70332,Marchesín,-0.28,23,,True,Grêmio,0.0,36,Marchesín,7,6.3,Agustín Federico Marchesín,4.29,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,1,284,marchesin,3.0,1.0,,,5.0,,,,,,,7.0,,,,,,74.0,25.0,2.0
57,70360,Eduardo Sasha,0.93,23,,True,Bragantino,8.5,36,E. Sasha,7,9.02,Eduardo Colcenti Antunes,4.52,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,5,280,eduardo-sasha,6.0,8.0,16.0,17.0,33.0,1.0,3.0,3.0,17.0,5.0,,,1.0,,,,,,,
58,70449,Gabriel,0.0,27,,False,Juventude,0.0,36,Gabriel,6,3.55,Gabriel Vasconcelos Ferreira,2.1,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,1,286,gabriel,4.0,,1.0,,4.0,,,,,,,4.0,1.0,1.0,,,,84.0,41.0,
59,70592,Felipe Anderson,0.0,17,,False,Palmeiras,0.0,36,F. Anderson,6,9.51,Felipe Anderson Pereira Gomes,5.13,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,4,275,felipe-anderson,,39.0,10.0,7.0,10.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,
60,70666,Marllon,-0.14,28,,True,Cuiabá,0.8,36,Marllon,7,4.2,Marllon Gonçalves Jerônimo Borges,2.8,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3,1371,marllon,3.0,28.0,19.0,6.0,10.0,1.0,1.0,,3.0,1.0,,6.0,,2.0,1.0,,,,,
61,70788,Enner Valencia,1.79,17,,True,Internacional,14.5,36,E. Valencia,7,10.08,Enner Remberto Valencia Lastra,2.31,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,5,285,enner-valencia,1.0,4.0,9.0,6.0,15.0,2.0,4.0,1.0,6.0,1.0,,,,,,,,,,
62,70916,Diogo Barbosa,-0.51,20,,True,Fluminense,3.4,36,D. Barbosa,7,4.14,Diogo Barbosa Mendanha,2.74,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,2,266,diogo-barbosa,6.0,20.0,13.0,2.0,18.0,,,,,,,6.0,,,,,,,,
63,70944,Bruno Henrique,0.85,30,,True,Internacional,4.8,36,B. Henrique,6,5.79,Bruno Henrique Corsini,2.71,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,4,285,bruno-henrique,4.0,36.0,45.0,13.0,17.0,1.0,1.0,1.0,11.0,2.0,,,,,,,,,,
64,70958,Jean Carlos,0.0,19,,False,Juventude,0.0,36,J. Carlos,6,6.93,Jean Carlos Vicente,2.93,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,4,286,jean-carlos,3.0,7.0,13.0,10.0,7.0,,1.0,1.0,5.0,4.0,,,,,,,,,,
65,70984,Payet,0.03,20,,True,Vasco,0.8,36,Payet,6,5.98,Florent Dimitri Payet,3.47,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,4,267,payet,2.0,10.0,8.0,7.0,24.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,
66,71038,Pedro Henrique,-1.02,10,,True,Atlético-GO,-0.3,36,P. Henrique,6,3.71,Pedro Henrique Pereira da Silva,2.69,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3,373,pedro-henrique,3.0,11.0,9.0,,4.0,,,,2.0,,,3.0,,,,,,,,
67,71227,Maicon,0.0,30,,False,Vasco,0.0,36,Maicon,6,4.25,Maicon Pereira Roque,2.52,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,3,267,maicon,5.0,33.0,12.0,2.0,8.0,,1.0,,1.0,1.0,,6.0,,,,,,,,
68,71536,Luiz Gustavo,1.02,27,,True,São Paulo,11.6,36,L. Gustavo,7,6.62,Luiz Gustavo Dias,3.58,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,4,276,luiz-gustavo,3.0,41.0,34.0,11.0,24.0,2.0,,1.0,11.0,2.0,,,,,,,,,,
69,71631,Weverton,0.0,33,,False,Palmeiras,0.0,36,Weverton,6,10.78,Weverton Pereira da Silva,5.08,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,1,275,weverton,2.0,1.0,,,9.0,,,1.0,,,,15.0,,,,,,110.0,26.0,
70,71680,Raúl Cáceres,1.05,21,,True,Vitória,7.4,36,R. Cáceres,7,6.36,Raúl Alejandro Cáceres Bogado,3.64,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,2,287,raul-caceres,2.0,30.0,20.0,2.0,4.0,,3.0,2.0,,,,7.0,,,,,,,,
71,71684,Gustavo Gómez,0.0,24,,False,Palmeiras,0.0,36,G. Gómez,3,9.07,Gustavo Raúl Gómez Portillo,4.1,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,3,275,gustavo-gomez,7.0,26.0,37.0,13.0,21.0,,7.0,2.0,1.0,1.0,,10.0,,1.0,,1.0,,,,
72,71701,Santiago Arias,-0.39,21,,True,Bahia,0.0,36,S. Arias,6,5.75,Santiago Arias Naranjo,3.8,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,2,265,santiago-arias,2.0,30.0,22.0,6.0,20.0,,4.0,1.0,2.0,,,7.0,1.0,1.0,,,,,,
73,71898,Gabriel Pires,0.0,5,,False,Fluminense,0.0,36,G. Pires,6,5.14,Gabriel Appelt Pires,3.48,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,4,266,gabriel-pires,1.0,13.0,8.0,2.0,5.0,,1.0,,1.0,,,,,,,,,,,
74,72294,Everson,0.0,21,,False,Atlético-MG,0.0,36,Everson,7,7.1,Everson Felipe Marques Pires,2.24,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,1,282,everson,5.0,,1.0,,5.0,,,,,,,6.0,1.0,,,,,51.0,28.0,
75,72372,Felipe Alves,0.0,0,,False,Fluminense,0.0,36,F. Alves,6,5.0,Felipe Alves Raymundo,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,1,266,felipe-alves,,,,,,,,,,,,,,,,,,,,
