,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
268,Matheus Pereira,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_tZZNLQo.png,matheus-pereira,3,M. Pereira,3,283,4.7,7,2.5,,7.21,0.06,4,96610,True,Matheus Fellipe Costa Pereira,1.0,,3.0,2.0,2.0,11.0,,,,,1.0,,,,,,,
269,Allan,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_j7yMylW.png,allan,2,Allan,3,262,3.3,6,3.05,,5.36,0.46,4,96652,True,Allan Rodrigues de Souza,1.0,4.0,3.0,1.0,,4.0,,,,,,,,,,,,
270,Gabriel Milito,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/24/photo_FORMATO.png,gabriel-milito,3,G. Milito,3,282,8.81,7,5.86,,9.14,0.9,6,96673,True,Gabriel Alejandro Milito,,,,,,,,,,,,,1.0,,,,,
271,Bustos,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_4JN6eBb.png,bustos,3,Bustos,3,285,2.9,7,3.23,,7.01,-0.31,2,96678,True,Fabricio Tomás Bustos Sein,1.0,4.0,3.0,,1.0,2.0,,,,1.0,,,,,,,,
272,Saravia,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,saravia,3,Saravia,3,282,6.3,2,4.77,,7.25,0.52,2,96725,True,Renzo Saravia,1.0,5.0,7.0,,,3.0,,,,2.0,1.0,,,,,,,
273,Camutanga,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_dArb0z1.png,camutanga,1,Camutanga,3,287,0.0,5,2.0,,3.17,0.0,3,96793,False,Cleidson Andrade da Souza Silva,1.0,3.0,2.0,,,,,,,,,,,,,,,
274,Carlinhos,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_jmKsdsL.png,carlinhos,2,Carlinhos,3,262,0.2,6,0.5,,2.43,-0.32,5,96831,True,Carlos Moisés de Lima,,,2.0,,2.0,,,,,,,,,,,,,
275,Arthur Gomes,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_0C3TGei.png,arthur-gomes,3,A. Gomes,3,283,1.1,7,2.2,,5.07,-0.58,5,96966,True,Arthur Gomes Lourenço,1.0,,3.0,1.0,,5.0,,,,,2.0,1.0,,,,,,
276,Yony González,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_1seH9AO.png,yony-gonzalez,2,Y. González,3,373,0.0,6,2.0,,3.93,0.0,5,97080,False,Jony Alexander González Copete,,1.0,,,1.0,4.0,,,,,,,,,,,,
277,Dudu,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VyiA44m.png,dudu,0,Dudu,3,356,0.0,6,0.0,,4.0,0.0,2,97133,False,Luís Eduardo Marques dos Santos,,,,,,,,,,,,,,,,,,
278,Villasanti,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_hHpUtkJ.png,villasanti,3,Villasanti,3,284,3.8,7,4.17,,9.97,-0.53,4,97145,True,Mathías Adalberto Villasanti Rolón,,5.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,
279,Rogério Ceni,Bahia,https://s.sde.globo.com/media/person_role/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,rogerio-ceni,2,R. Ceni,3,265,4.27,7,4.18,,9.64,-0.02,6,97341,True,Rogério Mücke Ceni,,,,,,,,,,,,,,,,,,
280,Romércio,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_2Luig7d.png,romercio,0,Romércio,3,286,0.0,6,0.0,,3.0,0.0,3,97443,False,Romércio Pereira da Conceição,,,,,,,,,,,,,,,,,,
281,Gustavo Mosquito,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_6NQENP4.png,gustavo-mosquito,1,G. Mosquito,3,264,0.0,6,2.5,,4.01,0.0,5,97450,False,Gustavo Henric da Silva,,1.0,,,1.0,1.0,,,,,,,,,,,,
282,Marçal,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_nKRokLk.png,marcal,1,Marçal,3,263,0.0,6,1.2,,4.53,0.0,2,97468,False,Fernando Marçal de Oliveira,,1.0,,,,,,,,,,,,,,,,
283,Shaylon,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_6COfCnm.png,shaylon,3,Shaylon,3,373,2.0,7,1.57,,5.12,-0.28,4,97520,True,Shaylon Kallyson Cardozo - Cardoso,,2.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,1.0
284,Willean Lepo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_0lR2onJ.png,willean-lepo,1,W. Lepo,3,287,1.2,6,1.2,,3.64,-0.36,2,97522,True,William Bernardo Willemen - Willeam Lepu,,1.0,,,,,,,,,,,,,,,,
285,Estupiñán,Bahia,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO.png,estupinan,2,Estupiñán,3,265,0.0,6,0.4,,4.43,-0.79,5,97547,True,Óscar Eduardo Estupiñán Vallesilla,,,,,1.0,,,,,,,,,,,,,
286,Eryc Castillo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_xuxbOxr.png,eryc-castillo,0,E. Castillo,3,287,0.0,6,0.0,,2.0,0.0,5,97640,False,Erick Leonel Castillo Arroyo,,,,,,,,,,,,,,,,,,
287,Félix Torres,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ZA5gyHo.png,felix-torres,3,F. Torres,3,264,-0.2,7,3.2,,7.24,-1.28,3,97642,True,Félix Eduardo Torres Caicedo,,4.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,
288,Murilo,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_YJUCJBH.png,murilo,3,Murilo,3,275,3.6,2,4.2,,12.52,-1.14,3,97653,True,Murilo Cerqueira Paim,1.0,2.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,
289,Reynaldo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_useyiNV.png,reynaldo,0,Reynaldo,3,287,0.0,6,0.0,,3.0,0.0,3,97768,False,Reynaldo César Moraes,,,,,,,,,,,,,,,,,,
290,Erick,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_l7c3hxY.png,erick,2,Erick,3,276,0.0,6,3.85,,6.43,0.0,5,97810,False,Erick de Arruda Serafim,,1.0,,,,3.0,,,,,,1.0,,,,,,
291,Léo Ortiz,Flamengo,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_8U8IqF6.png,leo-ortiz,0,L. Ortiz,3,262,0.0,6,0.0,,11.0,0.0,3,97867,False,Leonardo Rech Ortiz,,,,,,,,,,,,,,,,,,
292,Vitão,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_cgStWK5.png,vitao,3,Vitão,3,285,0.4,7,2.87,,5.23,-0.7,3,97900,True,Vitor Eduardo da Silva Matos,1.0,3.0,5.0,1.0,1.0,1.0,,,,1.0,,,,,,,,
293,Luís Oyama,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b9ZdFP4.png,luis-oyama,0,L. Oyama,3,286,0.0,6,0.0,,4.0,0.0,4,97908,False,Luís Felipe Oyama,,,,,,,,,,,,,,,,,,
294,Felipe Vieira,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_g3d23Nj.png,felipe-vieira,0,F. Vieira,3,287,0.0,5,0.0,,2.0,0.0,2,97927,False,Felipe Vieira Augusto,,,,,,,,,,,,,,,,,,
295,Erick,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PzrcPox.png,erick,3,Erick,3,293,1.7,7,2.47,,6.13,-0.55,4,98022,True,Erick Luis Conrado de Carvalho,,6.0,7.0,,1.0,3.0,,,,,,,,,,,,
296,Pedro Raul,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_btuS15d.png,pedro-raul,3,P. Raul,3,264,0.0,6,0.37,,3.09,-0.48,5,98225,True,Pedro Raul Garay da Silva,,,2.0,1.0,,1.0,,,,,,,,,,,,
297,Bastos,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_sq29S9f.png,bastos,3,Bastos,3,263,2.4,2,3.6,,4.18,0.09,3,98280,True,Bartolomeu Jacinto Quissanga,,4.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,
298,Kanu,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OKP0vwQ.png,kanu,1,Kanu,3,265,0.0,6,0.7,,2.71,0.0,3,98484,False,Victor Hugo Soares dos Santos,,,1.0,,,2.0,,,,,,,,,,,,
299,Jean Lucas,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Lb03bwo.png,jean-lucas,2,J. Lucas,3,265,1.0,7,2.8,,6.28,-0.27,4,98517,True,Jean Lucas de Souza Oliveira,1.0,,4.0,1.0,2.0,,,,,,,1.0,,,,,,
300,Kuscevic,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_XpAwacz.png,kuscevic,1,Kuscevic,3,356,0.0,5,2.6,,4.21,0.0,3,98619,False,Benjamín Kušcevic Jaramillo,,2.0,1.0,,,1.0,,,,,,,,,,,,
301,Savarino,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_KxKxL8O.png,savarino,3,Savarino,3,263,9.0,2,3.47,,7.04,1.26,5,98672,True,Jefferson David Savarino Quintero,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
302,Pedrinho,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_QTjI0Vv.png,pedrinho,0,Pedrinho,3,282,0.0,6,0.0,,6.0,0.0,4,98706,False,Pedro Victor Delmino da Silva,,,,,,,,,,,,,,,,,,
303,Cuello,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_JnDE8PH.png,cuello,3,Cuello,3,293,4.7,7,3.5,,5.74,0.33,5,98909,True,Tomás Esteban Cuello,,3.0,1.0,1.0,5.0,4.0,,,,,,,,,,,,
304,Viña,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_Y6GueeQ.png,vina,1,Viña,3,262,0.0,6,0.8,,7.68,0.0,2,98974,False,Matías Nicolás Viña Susperreguy,,,,,1.0,,,,,,,,,,,,,
305,Vegetti,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_fK3iFMZ.png,vegetti,3,Vegetti,3,267,11.3,7,9.17,,15.09,0.76,5,99198,True,Pablo Vegetti,1.0,,7.0,2.0,7.0,8.0,2.0,,,,4.0,,,,1.0,,,
306,Puma Rodríguez,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_WaoVDSt.png,puma-rodriguez,0,P. Rodríguez,3,267,0.0,6,0.0,,4.0,0.0,2,99213,False,José Luis Rodríguez Bebanz,,,,,,,,,,,,,,,,,,
307,De la Cruz,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_c5iH0Ku.png,de-la-cruz,3,D. Cruz,3,262,1.3,7,11.63,,14.17,-1.74,4,99228,True,Diego Nicolás de la Cruz Arcosa,,8.0,2.0,,3.0,5.0,2.0,,,,,1.0,,,,,,
308,Pochettino,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_up62cTi.png,pochettino,2,Pochettino,3,356,0.0,2,6.75,,7.93,0.0,4,99267,False,Tomás Pochettino,1.0,3.0,4.0,,2.0,1.0,,,,,,2.0,,,,,,
309,Alexander Barboza,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_9Ge6HYf.png,alexander-barboza,1,A. Barboza,3,263,0.0,2,-3.0,,3.05,0.0,3,99274,False,Alexander Nahuel Barboza Ullúa,,,,,,,,,,,,,,,,,1.0,
310,Dinenno,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_2S2h9nH.png,dinenno,0,Dinenno,3,283,0.0,5,0.0,,7.0,0.0,5,99316,False,Juan Ignacio Dinenno de Cara,,,,,,,,,,,,,,,,,,
311,Luis Zubeldía,São Paulo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_1Msj2GU.png,luis-zubeldia,0,L. Zubeldía,3,276,0.0,7,0.0,,9.51,0.0,6,99366,False,Luis Francisco Zubeldía,,,,,,,,,,,,,,,,,,
312,Robert Rojas,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_oeaxG9n.png,robert-rojas,1,R. Rojas,3,267,0.0,6,2.1,,3.21,0.0,3,99387,False,Robert Samuel Rojas Chávez,,2.0,1.0,,,,,,,,,,,,,,,
313,Baralhas,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_5FJVKbT.png,baralhas,3,Baralhas,3,373,-0.2,6,0.83,,3.64,-0.65,4,99440,True,Gabriel Baralhas dos Santos,1.0,1.0,2.0,,3.0,1.0,,,,,,,,,,,,
314,Rossi,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_sM4o3AF.png,rossi,3,Rossi,3,262,6.0,7,2.67,,7.24,0.4,1,99552,True,Agustín Daniel Rossi,,,,,,,,5.0,2.0,1.0,,,,,,,,
315,Guilherme Romão,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_uJhNaxu.png,guilherme-romao,3,G. Romão,3,373,0.5,7,0.4,,2.11,-0.23,2,99623,True,Guilherme Kennedy Romão,1.0,,3.0,,2.0,3.0,,,,,,,,,,,,
316,Cifuentes,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_RifhGmS.png,cifuentes,1,Cifuentes,3,283,0.0,6,0.9,,2.78,0.0,4,99766,False,José Adoni Cifuentes Charcopa,,1.0,1.0,,,,,,,,,,,,,,,
317,Arias,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RYUmTsY.png,arias,2,Arias,3,266,6.6,7,6.25,,15.78,-0.28,4,99815,True,Jhon Adolfo Arias Andrade,,4.0,3.0,4.0,1.0,6.0,,,,,,,,,,,,
318,Paulinho,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_XppRgGL.png,paulinho,3,Paulinho,3,282,8.1,7,3.43,,12.76,0.09,5,99818,True,Paulo Henrique Sampaio Filho,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
319,Alan Franco,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Oa1eUuU.png,alan-franco,1,A. Franco,3,276,9.1,7,9.1,,6.37,2.37,3,99889,True,Alan Javier Franco,,3.0,,,,1.0,,,,1.0,,,,,,,,
320,Zaracho,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png,zaracho,3,Zaracho,3,282,8.9,6,5.0,,9.5,0.86,4,100079,True,Federico Matías Javier Zaracho,,6.0,5.0,,1.0,1.0,1.0,,,,,,,,,,,
321,Igor Gomes,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_UzfIqe6.png,igor-gomes,3,I. Gomes,3,282,0.5,7,2.27,,5.18,-0.65,4,100084,True,Igor Silveira Gomes,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
322,Pedro Augusto,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_omYwNQA.png,pedro-augusto,2,P. Augusto,3,356,0.0,6,2.7,,3.5,0.0,4,100085,False,Pedro Augusto Borges da Costa,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,
323,Segovia,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_TZ7Qc4F.png,segovia,0,Segovia,3,263,0.0,6,0.0,,3.0,0.0,3,100453,False,Luis Geovanny Segovia Vega,,,,,,,,,,,,,,,,,,
324,Yuri Alberto,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wt9arbZ.png,yuri-alberto,3,Y. Alberto,3,264,1.5,7,1.9,,6.06,-0.56,5,100652,True,Yuri Alberto Monteiro da Silva,1.0,1.0,4.0,1.0,4.0,5.0,,,,,2.0,,,,,,,
325,Lucas Esteves,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_Oqbbci1.png,lucas-esteves,2,L. Esteves,3,287,5.2,7,1.85,,2.76,0.82,2,100846,True,Lucas Esteves de Souza,1.0,3.0,3.0,1.0,,2.0,,,,,2.0,,,,,,,
326,Luan Cândido,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_DTpZOty.png,luan-candido,3,L. Cândido,3,280,7.9,7,2.5,,5.18,1.26,3,100848,True,Luan Cândido de Almeida,2.0,4.0,8.0,,2.0,1.0,,,,1.0,,,,,,,,
327,Ronald Lopes,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_Nhk7IV4.png,ronald-lopes,0,R. Lopes,3,288,0.0,6,0.0,,4.0,0.0,4,100969,False,Ronald dos Santos Lopes,,,,,,,,,,,,,,,,,,
328,Derek,Atlético-GO,https://s.sde.globo.com/media/person_role/2023/07/21/photo_220x220_Rr5xK7r.png,derek,2,Derek,3,373,0.0,6,0.6,,2.98,0.0,5,100976,False,Derek Freitas Ribeiro,,1.0,,,,,,,,,,,,,,,,
329,Júnior Santos,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_GZeQZHl.png,junior-santos,3,J. Santos,3,263,14.4,7,7.13,,9.74,2.22,5,101002,True,José Antonio dos Santos Júnior,1.0,2.0,4.0,1.0,,4.0,1.0,,,,,2.0,,,,,,
330,Ferreira,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nPg7koa.png,ferreira,2,Ferreira,3,276,7.9,7,10.5,,11.49,2.32,5,101290,True,Aldemir dos Santos Ferreira,,3.0,1.0,,1.0,2.0,2.0,,,,1.0,,,,,,,
331,Ademir,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_IWREALz.png,ademir,1,Ademir,3,265,1.6,2,1.6,,4.58,-0.42,5,101314,True,Ademir da Silva Santos Júnior,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,
332,Guga,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_k1fivRS.png,guga,0,Guga,3,266,0.0,2,-1.0,,4.11,0.0,2,101319,False,Cláudio Rodrigues Gomes,1.0,,,,,,,,,,,,,,,,,
333,Danilo Boza,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b7q5w0V.png,danilo-boza,2,D. Boza,3,286,11.0,7,9.0,,7.76,3.02,3,101431,True,Danilo Boza Júnior,,2.0,,,2.0,2.0,1.0,,,1.0,,,,,,,,
334,Pepê,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_eQw4wlK.png,pepe,0,Pepê,3,284,0.0,2,0.0,,6.0,0.0,4,101573,False,João Pedro Vilardi Pinto,,,,,,,,,,,,,,,,,,
335,Hugo Moura,Vasco,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_jLwJb5G.png,hugo-moura,1,H. Moura,3,267,9.5,7,9.5,,6.5,2.5,4,101594,True,Hugo Moura Arruda da Silva,1.0,4.0,1.0,,,2.0,,,,,,1.0,,,,,,
336,Ramon,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_j3eOqDC.png,ramon,0,Ramon,3,1371,0.0,6,0.0,,4.0,0.0,2,101597,False,Ramon Ramos Lima,,,,,,,,,,,,,,,,,,
337,Caio Vinícius,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_fCg7WfQ.png,caio-vinicius,0,C. Vinícius,3,287,0.0,2,0.0,,3.0,0.0,4,101601,False,Caio Vinicius da Conceição,,,,,,,,,,,,,,,,,,
338,Rhaldney,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VWBr2KD.png,rhaldney,3,Rhaldney,3,373,1.4,7,0.87,,2.51,-0.05,4,101666,True,Rhaldney Norberto Simião Gomes,2.0,4.0,4.0,,,2.0,,,,,,,,,,,,
339,Felipe Jonatan,Fortaleza,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_ZDljmkA.png,felipe-jonatan,0,F. Jonatan,3,356,0.0,6,0.0,,6.0,0.0,2,101708,False,Felipe Jonatan Rocha Andrade,,,,,,,,,,,,,,,,,,
340,Alerrandro,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_v6x7rRS.png,alerrandro,2,Alerrandro,3,287,1.3,2,2.15,,6.37,-0.44,5,101715,True,Alerrandro Barra Mansa Realino de Souza,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,,,,,,,
341,Railan,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_glaRaXf.png,railan,1,Railan,3,1371,0.0,6,2.8,,3.45,0.0,2,101726,False,Railan Reis Ferreira - Raylan,,2.0,2.0,,,2.0,,,,,,,,,,,,
342,Matheuzinho,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_Mq6sxK4.png,matheuzinho,2,Matheuzinho,3,264,6.1,6,5.15,,6.07,1.3,2,101727,True,Matheus França Silva,1.0,3.0,3.0,,2.0,4.0,,,,1.0,,,,,,,,
343,Diego Costa,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ApqbX2X.png,diego-costa,3,D. Costa,3,276,6.8,6,2.87,,4.95,1.01,3,101728,True,Diego Henrique Costa Barbosa,,4.0,4.0,,,,,,,1.0,,,,,,,,
344,Claudinho,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_6lSysiX.png,claudinho,2,Claudinho,3,288,0.0,7,3.6,,4.11,0.0,2,101752,False,Claudio Coelho Salvático,,6.0,,,,,,,,,,,,,,,,
345,Mayk,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_i2B5PuQ.png,mayk,0,Mayk,3,284,0.0,5,0.0,,3.0,0.0,2,101820,False,Mayksilvan da Silva Ferreira,,,,,,,,,,,,,,,,,,
346,Vitinho,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_fcyTaPY.png,vitinho,3,Vitinho,3,280,11.5,7,11.13,,12.68,1.06,5,101960,True,Vitor Hugo Naum dos Santos,2.0,6.0,6.0,1.0,1.0,4.0,2.0,,,,,2.0,,,,,,
347,Brítez,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_HXZBgqO.png,britez,2,Brítez,3,356,0.0,7,1.0,,3.31,0.0,3,101995,False,Emanuel Fermín Brítez,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
348,Piquerez,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_loXGEPe.png,piquerez,2,Piquerez,3,275,9.7,7,7.1,,11.74,1.53,2,102130,True,Joaquín Piquerez Moreira,,5.0,3.0,,2.0,5.0,,,,1.0,,,,,,,,
349,Vitor Eudes,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_SYE5Cts.png,vitor-eudes,0,V. Eudes,3,266,0.0,6,0.0,,1.0,0.0,1,102137,False,Vitor Eudes de Souza Costa,,,,,,,,,,,,,,,,,,
350,Lucas Halter,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_SVv6kJE.png,lucas-halter,3,L. Halter,3,263,1.7,7,2.87,,6.64,-0.55,3,102253,True,Lucas Halter,1.0,3.0,5.0,1.0,1.0,1.0,,,,1.0,,,,,,,,
351,Rafael Elias,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_HlIc5fu.png,rafael-elias,3,R. Elias,3,283,0.9,6,3.1,,5.23,-0.63,5,102302,True,Rafael Elias da Silva,1.0,,2.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,
352,Caio Paulista,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_nZ3jBWs.png,caio-paulista,0,C. Paulista,3,275,0.0,6,0.0,,6.0,0.0,2,102318,False,Caio Fernando de Oliveira,,,,,,,,,,,,,,,,,,
353,Cacá,Corinthians,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO.png,caca,0,Cacá,3,264,0.0,7,0.0,,7.0,0.0,3,102340,False,Carlos de Menezes Júnior,,,,,,,,,,,,,,,,,,
354,Araos,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_nBCEEhL.png,araos,0,Araos,3,373,0.0,6,0.0,,3.0,0.0,4,102352,False,Ángelo Giovanni Araos Llanos,,,,,,,,,,,,,,,,,,
355,Mastriani,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_JrvZkOm.png,mastriani,3,Mastriani,3,293,0.0,6,3.6,,7.45,-1.23,5,102561,True,Gonzalo Mathías Mastriani Borges,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,
356,Helinho,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_HKFN5Du.png,helinho,0,Helinho,3,280,0.0,6,0.0,,6.0,0.0,5,102598,False,Hélio Júnio Nunes de Castro,,,,,,,,,,,,,,,,,,
357,Thiaguinho,Juventude,https://s.sde.globo.com/media/person_role/2024/04/13/photo_FORMATO_S4nmFGH.png,thiaguinho,2,Thiaguinho,3,286,0.0,6,0.7,,1.95,-0.19,4,102599,True,Thiago Beserra dos Santos Conti,,1.0,1.0,,,1.0,,,,,,,,,,,,
358,Julimar,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_do5hHhP.png,julimar,3,Julimar,3,293,3.1,7,3.97,,4.87,-0.01,5,102796,True,Julimar Silva Oliveira Júnior,,3.0,5.0,1.0,4.0,1.0,,,,,1.0,1.0,,,,,,
359,Terans,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_hfdtfwn.png,terans,0,Terans,3,266,0.0,6,0.0,,7.0,0.0,4,102878,False,Miguel David Terans Pérez,,,,,,,,,,,,,,,,,,
360,Anderson,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pMtI9RP.png,anderson,3,Anderson,3,283,-2.0,7,-0.33,,0.8,-0.63,1,102906,True,Anderson Silva da Paixão,,,,,,,,5.0,6.0,,,,,,,,,
361,Matheus Teixeira,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_udwUldz.png,matheus-teixeira,0,M. Teixeira,3,288,0.0,6,0.0,,3.0,0.0,1,102907,False,Matheus Henrique Teixeira,,,,,,,,,,,,,,,,,,
