,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
40,Marinho,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,marinho,2,Marinho,3,356,0.0,7,1.15,,4.69,0.0,5,68952,False,Mário Sérgio Santos Costa,,,2.0,1.0,1.0,2.0,,,,,1.0,,,,,,,
41,Marquinhos Gabriel,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,marquinhos-gabriel,2,M. Gabriel,3,288,0.0,7,1.4,,4.31,0.0,4,68954,False,Marcos Gabriel do Nascimento,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,
42,Lucas Sasha,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,lucas-sasha,2,L. Sasha,3,356,0.0,7,3.0,,5.81,0.0,4,68991,False,Lucas Pacheco Affini,,5.0,,,,,,,,,,,,,,,,
43,Santos,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,santos,0,Santos,3,356,0.0,6,0.0,,8.0,0.0,1,69012,False,Aderbar Melo dos Santos Neto,,,,,,,,,,,,,,,,,,
44,Manoel,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,manoel,1,Manoel,3,266,0.4,7,0.4,,4.97,-1.03,3,69014,True,Manoel Messias Silva Carvalho,,,2.0,,,2.0,,,,,,,,,,,,
45,Paulinho,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,paulinho,3,Paulinho,3,264,1.7,6,1.0,,3.65,-0.15,4,69034,True,José Paulo Bezerra Maciel Júnior,,1.0,,,1.0,2.0,,,,,,,,,,,,
46,Muriel,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,muriel,0,Muriel,3,287,0.0,6,0.0,,4.0,0.0,1,69041,False,Muriel Gustavo Becker,,,,,,,,,,,,,,,,,,
47,Danilo Fernandes,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,danilo-fernandes,0,D. Fernandes,3,265,0.0,6,0.0,,4.0,0.0,1,69051,False,Danilo Fernandes Batista,,,,,,,,,,,,,,,,,,
48,James Rodríguez,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,james-rodriguez,1,J. Rodríguez,3,276,0.0,5,0.0,,5.76,0.0,4,69063,False,James David Rodríguez Rubio,,,,,,,,,,,,,,,,,,
49,Vargas,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,vargas,3,Vargas,3,282,0.0,7,0.33,,2.59,-0.42,5,69102,True,Eduardo Jesús Vargas Rojas,,,,,,2.0,,,,,,,,,,,,
50,Pablo,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,pablo,2,Pablo,3,293,3.4,7,6.4,,8.92,0.67,5,69138,True,Pablo Felipe Teixeira,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
51,Pablo,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,pablo,1,Pablo,3,263,0.0,6,0.0,,3.22,-0.78,3,69165,True,Pablo Nascimento Castro,,,,,,,,,,,,,,,,,,
52,Aránguiz,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,aranguiz,0,Aránguiz,3,285,0.0,5,0.0,,7.0,0.0,4,69325,False,Charles Mariano Aránguiz Sandoval,,,,,,,,,,,,,,,,,,
53,Medel,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,medel,1,Medel,3,267,0.0,7,-0.3,,4.83,0.0,3,69355,False,Gary Alexis Medel Soto,,,1.0,,,,,,,,,,,,,,,
54,João Pedro Galvão,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,joao-pedro-galvao,3,J. Galvão,3,284,0.3,6,1.6,,4.06,-0.53,5,69686,True,João Pedro Geraldino dos Santos Galvão,1.0,2.0,6.0,2.0,1.0,4.0,,,,,,,,,,,,
55,Nikão,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,nikao,0,Nikão,3,293,0.0,6,0.0,,6.0,0.0,4,69705,False,Maycon Vinícius Ferreira da Cruz,,,,,,,,,,,,,,,,,,
56,Lucas Moura,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,lucas-moura,0,L. Moura,3,276,0.0,5,0.0,,16.0,0.0,4,70164,False,Lucas Rodrigues Moura da Silva,,,,,,,,,,,,,,,,,,
57,Rafael,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,rafael,0,Rafael,3,263,0.0,5,0.0,,3.0,0.0,2,70171,False,Rafael Pereira da Silva,,,,,,,,,,,,,,,,,,
58,Fábio,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,fabio,2,Fábio,3,284,5.0,6,6.35,,7.17,1.4,2,70172,True,Fábio Pereira da Silva,,1.0,1.0,,1.0,2.0,,,,2.0,,,,,,,,
59,Gustavo,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,gustavo,0,Gustavo,3,288,0.0,7,0.0,,3.0,0.0,1,70216,False,Luiz Gustavo de Almeida Pinto,,,,,,,,,,,,,,,,,,
60,Bruno Uvini,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,bruno-uvini,1,B. Uvini,3,287,0.0,7,0.0,,3.22,-0.78,3,70221,True,Bruno Uvini Bortolança,,,,,,,,,,,,,,,,,,
61,Diego Costa,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,diego-costa,1,D. Costa,3,284,0.0,7,1.0,,6.93,0.0,5,70316,False,Diego da Silva Costa,,,,,,2.0,,,,,,,,,,,,
62,Marchesín,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,marchesin,3,Marchesín,3,284,8.0,7,4.0,,6.66,1.13,1,70332,True,Agustín Federico Marchesín,,,,,,,,4.0,2.0,2.0,,,,,,,,
63,Eduardo Sasha,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,eduardo-sasha,3,E. Sasha,3,280,0.0,2,5.23,,9.23,-1.56,5,70360,True,Eduardo Colcenti Antunes,1.0,2.0,2.0,3.0,1.0,5.0,1.0,,,,,,,,,,,
64,Gabriel,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,gabriel,3,Gabriel,3,286,-6.0,7,0.67,,2.82,-1.96,1,70449,True,Gabriel Vasconcelos Ferreira,2.0,,,,,2.0,,4.0,6.0,1.0,,,,,,,,
65,Marllon,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,marllon,2,Marllon,3,1371,4.1,7,2.3,,4.0,0.53,3,70666,True,Marllon Gonçalves Jerônimo Borges,,2.0,,1.0,,2.0,,,,,,,,,,,,
66,Enner Valencia,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,enner-valencia,0,E. Valencia,3,285,0.0,5,0.0,,17.0,0.0,5,70788,False,Enner Remberto Valencia Lastra,,,,,,,,,,,,,,,,,,
67,Diogo Barbosa,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,diogo-barbosa,0,D. Barbosa,3,266,0.0,2,0.0,,5.0,0.0,2,70916,False,Diogo Barbosa Mendanha,,,,,,,,,,,,,,,,,,
68,Bruno Henrique,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,bruno-henrique,3,B. Henrique,3,285,4.7,7,4.23,,7.1,0.08,4,70944,True,Bruno Henrique Corsini,,7.0,4.0,,,1.0,,,,,,1.0,,,,,,
69,Jean Carlos,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,jean-carlos,3,J. Carlos,3,286,0.0,5,8.5,,9.85,-1.43,4,70958,True,Jean Carlos Vicente,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,
70,Payet,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,payet,0,Payet,3,267,0.0,7,0.0,,5.0,0.0,4,70984,False,Florent Dimitri Payet,,,,,,,,,,,,,,,,,,
71,Pedro Henrique,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,pedro-henrique,2,P. Henrique,3,373,0.0,6,1.85,,3.13,0.0,3,71038,False,Pedro Henrique Pereira da Silva,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,
72,Maicon,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,maicon,2,Maicon,3,267,1.9,6,0.95,,3.84,-0.11,3,71227,True,Maicon Pereira Roque,,,,1.0,1.0,,,,,,1.0,,,,,,,
73,Luiz Gustavo,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,luiz-gustavo,0,L. Gustavo,3,276,0.0,6,0.0,,6.0,0.0,4,71536,False,Luiz Gustavo Dias,,,,,,,,,,,,,,,,,,
74,Weverton,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,weverton,3,Weverton,3,275,7.0,7,5.67,,12.55,-0.25,1,71631,True,Weverton Pereira da Silva,1.0,,,,,,,9.0,1.0,2.0,,,,,,,,
75,Raúl Cáceres,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,raul-caceres,0,R. Cáceres,3,287,0.0,6,0.0,,3.0,0.0,2,71680,False,Raúl Alejandro Cáceres Bogado,,,,,,,,,,,,,,,,,,
76,Gustavo Gómez,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,gustavo-gomez,2,G. Gómez,3,275,5.2,7,2.55,,10.01,-0.22,3,71684,True,Gustavo Raúl Gómez Portillo,1.0,2.0,6.0,,2.0,,,,,1.0,1.0,,,1.0,,,,
77,Santiago Arias,Bahia,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,santiago-arias,2,S. Arias,3,265,-1.1,7,0.85,,4.98,-0.94,2,71701,True,Santiago Arias Naranjo,1.0,2.0,4.0,,,3.0,,,,,,,,,,,,
78,Gabriel Pires,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,gabriel-pires,0,G. Pires,3,266,0.0,5,0.0,,4.0,0.0,4,71898,False,Gabriel Appelt Pires,,,,,,,,,,,,,,,,,,
79,Everson,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,everson,3,Everson,3,282,7.0,7,4.67,,11.45,-0.04,1,72294,True,Everson Felipe Marques Pires,1.0,,,,,2.0,,5.0,1.0,2.0,,,,,,,,
