,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.clube.id.full.name,atletas.status_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.media_num,atletas.pontos_num,atletas.nome,atletas.slug,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,DE,GS,V,PS,PC,PP,GC,DP
54,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,1,0.0,False,Pablo,69165,,Pablo,Botafogo,6,20,263,3,3.22,0.0,0.0,Pablo Nascimento Castro,pablo,,,,,,,,,,,,,,,,,,,,
55,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,7,0.0,False,Aránguiz,69325,,Aránguiz,Internacional,5,20,285,4,3.76,0.53,0.0,Charles Mariano Aránguiz Sandoval,aranguiz,,2.0,2.0,12.0,2.0,,3.0,,,,,1.0,,,,,,,,
56,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,11,0.0,False,J. Galvão,69686,,João Pedro Galvão,Grêmio,6,20,284,5,3.06,1.0,0.0,João Pedro Geraldino dos Santos Galvão,joao-pedro-galvao,,1.0,2.0,13.0,3.0,3.0,15.0,,,,,,,,,,,,,
57,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,11,-0.49,True,Nikão,69705,,Nikão,Athlético-PR,6,20,293,4,8.22,4.59,0.5,Maycon Vinícius Ferreira da Cruz,nikao,,,13.0,2.0,8.0,10.0,20.0,1.0,1.0,,,,,,,,,,,
58,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,13,0.0,False,L. Moura,70164,,Lucas Moura,São Paulo,7,20,276,4,16.7,7.19,0.0,Lucas Rodrigues Moura da Silva,lucas-moura,2.0,3.0,22.0,14.0,5.0,6.0,27.0,5.0,,,,,,,,,,,,
59,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0,0.0,False,Rafael,70171,,Rafael,Botafogo,5,20,263,2,3.0,0.0,0.0,Rafael Pereira da Silva,rafael,,,,,,,,,,,,,,,,,,,,
60,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,9,0.57,True,Fábio,70172,,Fábio,Grêmio,6,20,284,2,6.03,3.07,5.0,Fábio Pereira da Silva,fabio,,1.0,5.0,5.0,,2.0,11.0,,,3.0,,1.0,,,,,1.0,,,
61,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,13,-0.66,True,Gustavo,70216,,Gustavo,Criciúma,7,20,288,1,5.99,3.67,3.0,Luiz Gustavo de Almeida Pinto,gustavo,,2.0,,1.0,,,,,,2.0,1.0,,47.0,18.0,,,,,,2.0
62,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,6,0.0,False,B. Uvini,70221,,Bruno Uvini,Vitória,6,20,287,3,2.22,0.48,0.0,Bruno Uvini Bortolança,bruno-uvini,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
63,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,2,0.0,False,D. Costa,70316,,Diego Costa,Grêmio,5,20,284,5,6.25,1.0,0.0,Diego da Silva Costa,diego-costa,,,2.0,,1.0,,3.0,,1.0,,1.0,,,,,,,,,
