,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
569,giovane,5,38,False,264,117849,2.22,Giovane,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XV66WsM.png,Giovane,2.89,Giovane Santana do Nascimento,,11,1.0,,6.0,4.0,7.0,6.0,,,1.0,2.0,,,2.0,,,,,,,
570,breno-bidon,4,38,True,264,117910,2.14,Breno Bidon,Corinthians,3.4,7,0.29,https://s.sde.globo.com/media/person_role/2022/07/02/7c27a7fcaaaccdedd144a0e9af0c0e2d_FORMATO.png,B. Bidon,3.54,Breno de Souza Bidon,,28,5.0,35.0,30.0,8.0,7.0,34.0,,,,1.0,,,,,,,,,,
571,iago,3,38,False,262,118090,0.0,Iago,Flamengo,0.0,6,0.0,,Iago,1.0,Iago Teodoro da Silva Nogueira,,0,,,,,,,,,,,,,,,,,,,,
572,nathan-camargo,4,38,False,280,118175,0.0,Nathan Camargo,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_6uXqvAE.png,N. Camargo,3.0,Nathan Camargo dos Santos,,0,,,,,,,,,,,,,,,,,,,,
573,anderson-gomes,6,38,True,373,118181,4.43,Anderson Gomes,Atlético-GO,1.9,7,-0.76,https://s.sde.globo.com/media/person_role/2022/05/16/2cac4df92578f2317dc3afe8d728b472_FORMATO.png,A. Gomes,7.05,Anderson Leal Gomes,,11,,,,,,,,2.0,,,,,,,,,,,,
574,ronald,4,38,False,284,118238,0.1,Ronald,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_KF8k6Z6.png,Ronald,1.73,Ronald Cardoso Falkoski,,9,,1.0,1.0,,,,,,,,,,,,,,,,,
575,pedrao,3,38,False,283,118293,0.0,Pedrão,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lueB4Je.png,Pedrão,2.0,Pedro Henrique Franklim da Silva,,0,,,,,,,,,,,,,,,,,,,,
576,eliedson,4,38,True,288,118305,0.3,Eliédson,Criciúma,1.2,6,0.03,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_Y7jZjrx.png,Eliédson,2.16,Eliédson Pereira de Souza,,3,,1.0,1.0,,,,,,,,,,,,,,,,,
577,bernardo-franco,6,38,True,1371,118368,3.84,Bernardo Franco,Cuiabá,3.01,7,-0.03,https://s.sde.globo.com/media/person_role/2024/08/28/photo_FORMATO_87JlQEr.png,B. Franco,6.76,Bernardo Franco Junior,,14,,,,,,,,2.0,,,,,,,,,,,,
578,jackson,3,38,False,288,118490,0.0,Jackson,Criciúma,0.0,6,0.0,,Jackson,1.0,Jackson Henrique Marcelino Crispim,,0,,,,,,,,,,,,,,,,,,,,
579,ze-welinton,2,38,False,262,118501,0.0,Zé Welinton,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2022/06/29/eb9c2188bfd2d30e670faa55785ea3f2_FORMATO.png,Z. Welinton,1.0,José Welinton Campos Menezes,,0,,,,,,,,,,,,,,,,,,,,
580,rodriguinho,4,38,True,276,118563,2.08,Rodriguinho,São Paulo,0.0,6,-0.49,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TBiswrq.png,Rodriguinho,2.79,Rodrigo Huendra Almeida Mendonça,,4,,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
581,eliel,5,38,True,1371,118745,2.14,Eliel,Cuiabá,2.1,6,0.11,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_t0Fw29t.png,Eliel,4.08,Eliel Chrytian Pereira Silva,,18,2.0,8.0,4.0,3.0,5.0,17.0,,,2.0,1.0,,,,,,,,,,
582,mateus-carvalho,4,38,True,267,118752,3.6,Mateus Carvalho,Vasco,7.9,7,0.66,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_JfIekB6.png,M. Carvalho,6.56,Mateus Carvalho dos Santos,,31,9.0,68.0,40.0,7.0,5.0,31.0,,,2.0,2.0,1.0,2.0,,,,,,,,
583,lautaro-diaz,5,38,True,283,118775,1.87,Lautaro Díaz,Cruzeiro,0.0,6,-0.19,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_UT1KNbY.png,L. Díaz,4.59,Lautaro Ariel Díaz,,17,1.0,11.0,13.0,6.0,5.0,3.0,,,1.0,2.0,,,1.0,,,,,,,
584,victor-hugo,4,38,False,266,118802,-0.13,Victor Hugo,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/30/photo_FORMATO_8JgPovx.png,V. Hugo,1.08,Victor Hugo Ramos de Souza,,4,1.0,1.0,4.0,,,1.0,,,,,,,,,,,,,,
585,lucho-gonzalez,6,38,True,293,120397,4.83,Lucho González,Athlético-PR,2.68,7,-0.3,https://s.sde.globo.com/media/person_role/2024/09/24/photo_FORMATO_NPW1OXm.png,L. González,8.6,Luis Oscar González,,11,,,,,,,,2.0,,,,,,,,,,,,
586,leo-derik,2,38,False,293,120433,0.0,Léo Derik,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_EwfDXbc.png,L. Derik,2.0,Leonardo Derik Dias Gonçalves,,0,,,,,,,,,,,,,,,,,,,,
587,arthur-sousa,5,38,False,280,120856,0.02,Arthur Sousa,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/09/02/photo_FORMATO_BnMztX7.png,A. Sousa,0.82,Arthur Sousa Araújo,,8,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,
588,dija,2,38,False,280,121220,0.0,Dija,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2022/10/22/photo_220x220.png,Dija,1.0,Diego Kauan Silva Santos,,0,,,,,,,,,,,,,,,,,,,,
589,kauan,4,38,False,356,121237,0.73,Kauan,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_g8uOoWo.png,Kauan,1.87,Kauan Rodrigues da Silva,,3,,1.0,,,,2.0,,,,,,,,,,,,,,
590,gabryel-freitas,5,38,False,1371,121263,0.0,Gabryel Freitas,Cuiabá,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_220x220_2WJ0Lb4.png,G. Freitas,1.0,Gabryel Vinícius Araújo Freitas,,0,,,,,,,,,,,,,,,,,,,,
591,eli-junior,5,38,False,373,121331,1.2,Eli Júnior,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/11/photo_220x220_ZPyikzh.png,E. Júnior,1.35,Eli Silvano Kovalik Júnior,,1,,,,1.0,,,,,,,,,,,,,,,,
592,da-rocha,2,38,False,286,121397,0.0,Da Rocha,Juventude,0.0,6,0.0,,D. Rocha,1.0,Cauê Pereira da Rocha,,0,,,,,,,,,,,,,,,,,,,,
593,dorival,2,38,False,283,121636,0.0,Dorival,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/30/photo_220x220_VH8v9YX.png,Dorival,1.0,Dorival Silva de Oliveira,,0,,,,,,,,,,,,,,,,,,,,
594,guilherme-madruga,4,38,False,1371,121762,-0.25,Guilherme Madruga,Cuiabá,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_sRg7Zjl.png,G. Madruga,1.98,Guilherme Miranda Madruga Gomes,,4,1.0,,4.0,1.0,,,,,,,,,,,,,,,,
595,paulinho-silva,2,38,False,267,121766,0.0,Paulinho Silva,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/23/photo_FORMATO_5ClDe2s.png,P. Silva,1.0,Paulo Ricardo de Souza Babilônia,,0,,,,,,,,,,,,,,,,,,,,
596,andre,5,38,False,284,121792,0.0,André,Grêmio,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_AwvmyTT.png,André,4.0,André Henrique da Silva Martins,,0,,,,,,,,,,,,,,,,,,,,
597,kayke,4,38,False,264,121824,0.0,Kayke,Corinthians,0.0,6,0.0,,Kayke,0.79,Kayke Ferrari Guimarães,,2,,,,,,,,,,,,,,,,,,,,
598,kaue,4,38,False,263,121827,1.32,Kauê,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_zW6WD4H.png,Kauê,1.93,Kauê Rodrigues Pessanha,,8,,1.0,4.0,,2.0,2.0,,,1.0,,,,,,,,,,,
599,janderson,5,38,True,287,121830,2.89,Janderson,Vitória,11.5,6,0.98,https://s.sde.globo.com/media/person_role/2024/04/23/photo_FORMATO.png,Janderson,5.64,Janderson de Carvalho Costa,,27,6.0,29.0,24.0,7.0,13.0,18.0,,,3.0,6.0,,1.0,,,,,,,,
600,kennedy,5,38,False,265,122301,0.0,Kennedy,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_nXCTAYa.png,Kennedy,1.0,Kennedy Anderson Gomes Ferreira,,0,,,,,,,,,,,,,,,,,,,,
601,mateus-macedo,3,38,False,373,122317,0.0,Mateus Macedo,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_3LMCTRH.png,M. Macedo,1.0,Matheus Macedo dos Santos,,0,,,,,,,,,,,,,,,,,,,,
602,dyogo-alves,1,38,False,262,122318,0.0,Dyogo Alves,Flamengo,0.0,6,0.0,,D. Alves,1.0,Francisco Dyogo Bento Alves,,0,,,,,,,,,,,,,,,,,,,,
603,caio-barone,1,38,False,262,122319,0.0,Caio Barone,Flamengo,0.0,6,0.0,,C. Barone,1.0,Caio Albado Barone,,0,,,,,,,,,,,,,,,,,,,,
604,daniel-sales,2,38,False,262,122320,0.0,Daniel Sales,Flamengo,0.0,6,0.0,,D. Sales,0.88,Daniel dos Santos Sales,,1,,,,,,,,,,,,,,,,,,,,
605,lorran,4,38,False,262,122321,2.33,Lorran,Flamengo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/06/21/photo_FORMATO_hV943L9.png,Lorran,3.48,Lorran Lucas Pereira de Sousa,,18,,13.0,11.0,7.0,7.0,6.0,,,1.0,2.0,,1.0,,,,,,,,
606,lyncon,3,38,False,267,122378,8.0,Lyncon,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/07/photo_FORMATO_Dm2djjq.png,Lyncon,3.97,Lyncon Correa Gonçalves,,1,,,,,,,,,1.0,,,,,,,,,,,
607,lucas-eduardo,4,38,False,267,122379,0.0,Lucas Eduardo,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_1YblXkK.png,L. Eduardo,1.0,Lucas Eduardo de Souza Oliveira,,0,,,,,,,,,,,,,,,,,,,,
608,gustavinho,4,38,False,280,122394,1.91,Gustavinho,Bragantino,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_ayQ4fZH.png,Gustavinho,3.02,Gustavo Ribeiro Neves,,24,,12.0,12.0,4.0,5.0,7.0,,,1.0,,,3.0,,,,,,,,
609,ryan,4,38,False,264,122396,2.06,Ryan,Corinthians,0.0,5,0.0,https://s.sde.globo.com/media/person_role/2024/08/09/photo_FORMATO_r9tm9Th.png,Ryan,2.44,Ryan Gustavo de Lima,,11,2.0,19.0,15.0,2.0,2.0,5.0,,,,,,,,,,,,,,
610,pablo-baianinho,4,38,False,287,122413,-0.03,Pablo Baianinho,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_58gJ7zZ.png,P. Baianinho,0.65,Pablo Santos de Alcântara,,3,1.0,,3.0,,1.0,2.0,,,,,,,,,,,,,,
611,lucca,5,38,True,285,122420,0.72,Lucca,Internacional,1.2,6,0.16,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Ki8AphB.png,Lucca,1.95,Lucca Holanda Sampaio Tavares,,9,,2.0,7.0,1.0,2.0,7.0,,,,1.0,,,,,,,,,,
612,isaac,5,38,False,266,122439,1.06,Isaac,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lguei9P.png,Isaac,2.0,Isaac Rodrigues de Lima,,5,,3.0,1.0,,,4.0,,,,,,,,,,,,,,
613,rayan,5,38,False,267,122486,1.75,Rayan,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_DAjK7yT.png,Rayan,3.16,Rayan Vitor Simplício Rocha,,24,2.0,8.0,7.0,5.0,15.0,19.0,,,1.0,,,,,1.0,,,,,,
614,gb,5,38,False,267,122487,6.55,GB,Vasco,0.0,6,0.0,,GB,4.64,Gabriel Souza da Silva,,2,1.0,3.0,2.0,,2.0,3.0,,,1.0,,,,,,,,,,,
615,emerson-rodriguez,5,38,False,267,122525,2.46,Emerson Rodríguez,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_K1FY4p0.png,E. Rodríguez,3.82,Emerson Rivaldo Rodríguez Valois,,14,1.0,8.0,6.0,4.0,6.0,5.0,,,2.0,5.0,,,,,,,,,,
616,wallace-yan,4,38,False,262,122573,0.8,Wallace Yan,Flamengo,0.0,6,0.0,,W. Yan,1.18,Wallace Yan de Souza Barreto,,1,,,,,1.0,,,,,,,,,,,,,,,
617,lucas-furtado,1,38,False,262,122575,0.0,Lucas Furtado,Flamengo,0.0,6,0.0,,L. Furtado,1.0,Lucas Furtado dos Santos,,0,,,,,,,,,,,,,,,,,,,,
618,amorim,4,38,False,356,122598,0.0,Amorim,Fortaleza,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_tKEntj2.png,Amorim,1.0,Alexsandro Amorim de Freitas Filho,,0,,,,,,,,,,,,,,,,,,,,
619,matheus-belem,3,38,False,276,122602,0.0,Matheus Belém,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_kBJ7dRJ.png,M. Belém,2.0,Matheus José Belém de Souza,,0,,,,,,,,,,,,,,,,,,,,
620,japa,4,38,False,283,122660,0.93,Japa,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_7IIL65y.png,Japa,2.09,João Wellington Gadelha Melo de Oliveira,,9,,5.0,3.0,,1.0,5.0,,,,,,,,,,,,,,
621,lucas-cunha,3,38,True,280,122755,0.8,Lucas Cunha,Bragantino,0.5,7,-0.12,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_bGdGTnU.png,L. Cunha,3.17,Lucas de Souza Cunha,,11,2.0,5.0,4.0,1.0,1.0,4.0,1.0,,,,1.0,,,,,,,,,
622,jadson,5,38,True,1371,122797,1.2,Jadson,Cuiabá,3.9,7,0.73,https://s.sde.globo.com/media/person_role/2024/07/03/photo_FORMATO_FIHzuX5.png,Jadson,1.88,Jadson Alves de Lima,,7,,4.0,2.0,1.0,,,,,,,,,1.0,,,,,,,
623,gustavo-daniel,2,38,False,373,122819,0.0,Gustavo Daniel,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_y7ZiXUn.png,G. Daniel,1.0,Gustavo Daniel da Silva Gonçalves,,0,,,,,,,,,,,,,,,,,,,,
624,abner,3,38,False,286,122861,0.13,Abner,Juventude,0.0,6,0.0,,Abner,0.75,Abner Salles da Silva,,3,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
625,patrick,4,38,False,275,122990,0.0,Patrick,Palmeiras,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_JpQIiS0.png,Patrick,1.0,Patrick Roberto da Silva Campos,,0,,,,,,,,,,,,,,,,,,,,
626,tiago,5,38,False,265,123004,0.58,Tiago,Bahia,0.0,6,0.0,,Tiago,1.56,Tiago Souza de Jesus Carvalho,,4,,2.0,2.0,,,1.0,,,,,,,,,,,,,,
627,sidney,4,38,False,265,123005,0.0,Sidney,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/03/photo_FORMATO_JMWs04L.png,Sidney,1.0,Sidney de Carvalho Duarte,,0,,,,,,,,,,,,,,,,,,,,
628,zinho,5,38,False,284,123153,0.0,Zinho,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dzNYC4x.png,Zinho,1.0,Luis Henrique Hoffmann,,0,,,,,,,,,,,,,,,,,,,,
629,cadu,5,38,False,282,123359,3.37,Cadu,Atlético-MG,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_zH8hlaB.png,Cadu,4.01,Carlos Eduardo Amaral Pereira de Castro,,20,1.0,22.0,26.0,4.0,3.0,26.0,,,3.0,5.0,,,2.0,,,,,,,
630,cauly,4,38,True,265,123360,2.72,Cauly,Bahia,0.0,6,-0.96,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_31M3s89.png,Cauly,5.63,Cauly Oliveira Souza,,35,1.0,10.0,20.0,8.0,16.0,27.0,,,3.0,4.0,,5.0,2.0,,,,,,,
631,roger,4,38,False,265,123494,0.0,Roger,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/03/photo_FORMATO_lrs7L9Q.png,Roger,1.0,Roger Gabriel Farias de Jesus,,0,,,,,,,,,,,,,,,,,,,,
632,jota,4,38,False,265,123497,0.0,Jota,Bahia,0.0,6,0.0,,Jota,1.0,João Victor Broad Moreira Guimarães,,0,,,,,,,,,,,,,,,,,,,,
633,ze-guilherme,2,38,False,284,123717,2.77,Zé Guilherme,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_HA7qoxl.png,Z. Guilherme,3.3,José Guilherme de Lima Costa,,6,,8.0,4.0,1.0,,4.0,1.0,,,,,,,,,,,,,
634,luciano-rodriguez,5,38,True,265,123795,5.47,Luciano Rodríguez,Bahia,12.2,7,0.5,https://s.sde.globo.com/media/person_role/2024/08/08/photo_FORMATO_JO2CdTv.png,L. Rodríguez,8.61,Luciano Rodríguez Rosales,,18,1.0,9.0,5.0,11.0,12.0,27.0,,,6.0,2.0,,1.0,,1.0,,,,,,
635,palacios,5,38,False,282,123873,3.98,Palacios,Atlético-MG,-1.0,6,-0.25,https://s.sde.globo.com/media/person_role/2024/03/07/photo_220x220_b3oriPT.png,Palacios,5.15,Brahian Palacios Alzate,,17,4.0,15.0,13.0,12.0,8.0,8.0,,,2.0,3.0,,3.0,,2.0,,,,,,
636,ainoa,2,38,False,262,123958,0.0,Ainoã,Flamengo,0.0,6,0.0,,Ainoã,1.0,Ainoã Ricardo Silva Oliveira,,0,,,,,,,,,,,,,,,,,,,,
637,fabio,5,38,False,287,123960,0.17,Fábio,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ipoYISJ.png,Fábio,1.55,Fábio Soares dos Santos,,3,,,,,,1.0,,,,,,,,,,,,,,
638,riquelme,4,38,False,280,123961,0.5,Riquelme,Bragantino,0.0,6,0.0,,Riquelme,1.08,Riquelme Reis de Almeida de Jesus dos Santos,,1,,,,,,1.0,,,,,,,,,,,,,,
639,henry-mosquera,5,38,True,280,124239,2.23,Henry Mosquera,Bragantino,13.5,6,1.65,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_id8Dwn8.png,H. Mosquera,4.83,Henry David Mosquera Sánchez,,31,4.0,17.0,28.0,14.0,11.0,30.0,,,1.0,7.0,,2.0,1.0,,,,,,,
640,kauan,1,38,False,285,124264,0.0,Kauan,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_AOu7Nff.png,Kauan,1.0,Kauan Jesus Santos Oliveira,,0,,,,,,,,,,,,,,,,,,,,
641,evertow,3,38,False,285,124266,0.0,Evertow,Internacional,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_YgddPlw.png,Evertow,1.0,Evertow Vaz Pereira da Silva,,0,,,,,,,,,,,,,,,,,,,,
642,gustavo-prado,4,38,True,285,124271,1.3,Gustavo Prado,Internacional,4.6,7,0.52,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_Ph1gWxf.png,G. Prado,2.4,Gustavo Prado Alves,,24,1.0,14.0,10.0,5.0,5.0,7.0,,,,2.0,,1.0,,,,,,,,
643,gabriel-carvalho,4,38,True,285,124275,3.57,Gabriel Carvalho,Internacional,0.5,6,-0.11,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_Qpx6o0t.png,G. Carvalho,5.2,Gabriel Carvalho Teixeira,,18,2.0,21.0,15.0,8.0,9.0,11.0,,,1.0,,,3.0,,,,,,,,
644,ricardo-mathias,5,38,True,285,124280,2.78,Ricardo Mathias,Internacional,0.0,6,-1.05,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_KQzCuL1.png,R. Mathias,3.16,Ricardo Mathias da Silva,,4,1.0,1.0,1.0,,4.0,,,,1.0,,,,,,,,,,,
645,leo-aragao,1,38,False,283,124369,0.0,Léo Aragão,Cruzeiro,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_7877COP.png,L. Aragão,2.0,Leonardo de Aragão Carvalho,,0,,,,,,,,,,,,,,,,,,,,
646,mateo-ponte,2,38,True,263,124481,5.25,Mateo Ponte,Botafogo,1.2,7,-0.89,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_S1d60nA.png,M. Ponte,7.26,Mateo Ponte Costa,,17,4.0,31.0,22.0,1.0,4.0,9.0,6.0,,3.0,3.0,,,,,,,,,,
647,haller,2,38,False,373,124487,5.9,Haller,Atlético-GO,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/14/photo_FORMATO_5U0etRx.png,Haller,4.88,Rafael Germán Haller Piloni,,1,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
648,giay,2,38,True,275,124526,5.15,Giay,Palmeiras,5.0,7,0.19,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_cssYjfO.png,Giay,8.39,Agustín Giay,,10,1.0,23.0,12.0,3.0,3.0,15.0,3.0,,,,,,,,,,,,,
649,roque-junior,3,38,False,287,124663,0.0,Roque Júnior,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/19/photo_FORMATO_h1raV1Z.png,R. Júnior,2.0,Roque Santos de Jesus Júnior,,0,,,,,,,,,,,,,,,,,,,,
650,felipe-negrucci,4,38,False,276,124674,0.0,Felipe Negrucci,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Ftjtc7V.png,F. Negrucci,2.0,Felipe Negrucci Berdague,,0,,,,,,,,,,,,,,,,,,,,
651,paulo-vitor,4,38,False,282,124690,0.74,Paulo Vitor,Atlético-MG,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/05/07/photo_FORMATO_1HEXq1i.png,P. Vitor,0.94,Paulo Vitor Monteiro,,12,4.0,12.0,13.0,,,5.0,,,,,,,,,,,,,,
652,leandro,1,38,False,276,124701,0.0,Leandro,São Paulo,0.0,6,0.0,,Leandro,1.0,Leandro Mathias Silva Bueno,,0,,,,,,,,,,,,,,,,,,,,
653,esquerdinha,2,38,False,266,124728,3.28,Esquerdinha,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/05/16/photo_FORMATO_L1i5sSp.png,Esquerdinha,3.39,João Henrique Mendes da Silva,,5,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,
654,nathan-fernandes,5,38,False,284,124757,0.8,Nathan Fernandes,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_nzWNsYv.png,N. Fernandes,2.27,Nathan Ribeiro Fernandes,,17,3.0,8.0,9.0,2.0,5.0,13.0,,,,1.0,1.0,,,,,,,,,
655,kaua-elias,5,38,True,266,124821,3.18,Kauã Elias,Fluminense,0.4,6,0.01,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_UGP7Pol.png,K. Elias,3.5,Kauã Elias Nogueira,,26,3.0,9.0,14.0,13.0,12.0,9.0,,,5.0,3.0,,2.0,,,,,,,,
656,jonathan-jesus,3,38,True,283,124912,2.74,Jonathan Jesus,Cruzeiro,4.7,7,0.66,https://s.sde.globo.com/media/person_role/2024/06/21/photo_FORMATO_gDnfcOD.png,J. Jesus,4.7,Jonathan de Jesus Alves,,5,,3.0,3.0,,,2.0,2.0,,,,,,,,,,,,,
657,renato,3,38,False,264,124918,0.0,Renato,Corinthians,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/06/03/photo_FORMATO_kkl0avZ.png,Renato,1.0,Renato Santos da Cruz,,0,,,,,,,,,,,,,,,,,,,,
658,wesley-costa,2,38,False,284,125000,0.0,Wesley Costa,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/09/03/photo_FORMATO_tWVFhHY.png,W. Costa,1.0,Wesley Costa da Silva,,0,,,,,,,,,,,,,,,,,,,,
659,viery,3,38,False,284,125467,0.0,Viery,Grêmio,0.0,6,0.0,,Viery,1.0,Viery Fernandes Santos Lopes,,0,,,,,,,,,,,,,,,,,,,,
660,alisson,4,38,True,282,125469,2.82,Alisson,Atlético-MG,1.3,6,-0.36,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_THGcoZm.png,Alisson,4.32,Alisson Santana Lopes da Fonseca,,16,1.0,14.0,14.0,6.0,13.0,26.0,,,,1.0,,,1.0,,,,,,,
661,serginho,5,38,False,288,125471,0.77,Serginho,Criciúma,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/08/15/photo_FORMATO_ouzG8H9.png,Serginho,2.54,Sérgio Antonio de Luiz Junior,,4,1.0,2.0,3.0,1.0,,3.0,,,,1.0,,,,,,,,,,
662,dudu,4,38,False,293,125746,0.0,Dudu,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/07/07/photo_FORMATO_3PWOW7f.png,Dudu,1.0,Eduardo Kogitzki Anastacio,,0,,,,,,,,,,,,,,,,,,,,
663,rafael-monteiro,2,38,False,266,125804,0.0,Rafael Monteiro,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/07/09/photo_FORMATO.png,R. Monteiro,1.0,Rafael Monteiro Reis,,0,,,,,,,,,,,,,,,,,,,,
664,zapelli,4,38,False,293,125926,2.55,Zapelli,Athlético-PR,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_hPfi5y5.png,Zapelli,4.99,Bruno Zapelli,,31,3.0,22.0,17.0,12.0,8.0,18.0,,,,1.0,,5.0,2.0,,,,,,,
665,paulinho,4,38,True,267,126182,0.55,Paulinho,Vasco,1.1,6,-0.33,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zLpxwyY.png,Paulinho,5.04,Paulo Lucas Santos de Paula,,2,,,,1.0,,,,,,1.0,,,,,,,,,,
