,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
45,vargas,5,38,True,282,69102,4.24,Vargas,Atlético-MG,1.2,6,0.01,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Vargas,5.92,Eduardo Jesús Vargas Rojas,,22,1.0,8.0,7.0,6.0,8.0,20.0,,,7.0,7.0,,1.0,,3.0,,,,,,
46,pablo,5,38,True,293,69138,2.34,Pablo,Athlético-PR,5.0,7,0.46,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Pablo,5.83,Pablo Felipe Teixeira,,27,5.0,11.0,25.0,4.0,17.0,10.0,,,3.0,10.0,,2.0,2.0,,,,,,,
47,allan,4,38,True,263,69140,1.63,Allan,Botafogo,0.0,6,-0.21,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,Allan,4.85,Allan Marques Loureiro,,11,2.0,12.0,10.0,,,7.0,,,,,,1.0,,,,,,,,
48,pablo,3,38,False,263,69165,0.0,Pablo,Botafogo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Pablo,3.22,Pablo Nascimento Castro,,1,,,,,,,,,,,,,,,,,,,,
49,nikao,4,38,True,293,69705,5.5,Nikão,Athlético-PR,1.2,6,-0.39,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,Nikão,8.83,Maycon Vinícius Ferreira da Cruz,,24,,22.0,10.0,11.0,20.0,37.0,,,6.0,2.0,,2.0,1.0,,,,,,,
50,lucas-moura,4,38,False,276,70164,7.08,Lucas Moura,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,L. Moura,13.49,Lucas Rodrigues Moura da Silva,,28,4.0,39.0,27.0,10.0,12.0,64.0,,,10.0,,,6.0,,,,,,,,
51,rafael,2,38,True,263,70171,0.0,Rafael,Botafogo,0.0,6,-0.31,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael,2.69,Rafael Pereira da Silva,,1,,,,,,,,,,,,,,,,,,,,
52,fabio,2,38,False,284,70172,2.79,Fábio,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio,5.0,Fábio Pereira da Silva,,12,1.0,7.0,5.0,,2.0,14.0,4.0,,,,1.0,,1.0,,,,,1.0,,
53,gustavo,1,38,True,288,70216,3.12,Gustavo,Criciúma,-3.0,7,-0.49,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Gustavo,4.9,Luiz Gustavo de Almeida Pinto,,30,2.0,,1.0,1.0,,2.0,5.0,,,,1.0,,,,105.0,47.0,,,2.0,
54,bruno-uvini,3,38,False,287,70221,0.48,Bruno Uvini,Vitória,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,B. Uvini,2.22,Bruno Uvini Bortolança,,6,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,
55,diego-costa,5,38,True,284,70316,2.05,Diego Costa,Grêmio,2.9,7,0.26,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,D. Costa,5.12,Diego da Silva Costa,,10,3.0,5.0,7.0,4.0,,10.0,,,1.0,2.0,1.0,1.0,,,,,,,,
