,atletas.minimo_para_valorizar,atletas.media_num,atletas.nome,atletas.posicao_id,atletas.clube_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.apelido,atletas.preco_num,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.variacao_num,atletas.rodada_id,CA,DE,FS,GS,SG,A,CV,DS,FC,FD,FF,G,I,V,FT,PP,PS,GC,PC,DP
73,,3.46,Florent Dimitri Payet,4,267,Payet,Vasco,Payet,6.04,0.0,70984,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,False,payet,5,6,0.0,18,,,2.0,,,2.0,,2.0,1.0,1.0,,,,,1.0,,,,,
74,,2.8,Pedro Henrique Pereira da Silva,3,373,P. Henrique,Atlético-GO,Pedro Henrique,4.4,0.0,71038,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,False,pedro-henrique,6,5,0.0,18,2.0,,2.0,,2.0,,,7.0,6.0,1.0,,,,,,,,,,
75,,2.62,Maicon Pereira Roque,3,267,Maicon,Vasco,Maicon,4.08,0.0,71227,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,True,maicon,16,6,-0.67,18,3.0,,6.0,,4.0,,,12.0,8.0,1.0,1.0,1.0,1.0,,,,,,,
76,,2.55,Luiz Gustavo Dias,4,276,L. Gustavo,São Paulo,Luiz Gustavo,4.95,2.8,71536,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,True,luiz-gustavo,11,7,0.06,18,3.0,,7.0,,,,,17.0,16.0,6.0,6.0,,,,,,,,,
77,,5.25,Weverton Pereira da Silva,1,275,Weverton,Palmeiras,Weverton,11.27,8.0,71631,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,True,weverton,18,7,0.5,18,1.0,56.0,3.0,13.0,9.0,1.0,,1.0,,,,,,,,,,,,
78,,3.0,Raúl Alejandro Cáceres Bogado,2,287,R. Cáceres,Vitória,Raúl Cáceres,5.24,2.9,71680,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,True,raul-caceres,8,7,0.16,18,,,3.0,,1.0,1.0,,12.0,6.0,,,,1.0,,,,,,,
79,,5.05,Gustavo Raúl Gómez Portillo,3,275,G. Gómez,Palmeiras,Gustavo Gómez,9.87,5.3,71684,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,True,gustavo-gomez,10,7,0.64,18,3.0,,7.0,,5.0,2.0,,8.0,17.0,1.0,7.0,1.0,3.0,,,,,1.0,1.0,
80,,2.93,Santiago Arias Naranjo,2,265,S. Arias,Bahia,Santiago Arias,5.32,0.6,71701,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,True,santiago-arias,7,7,-0.26,18,1.0,,12.0,,2.0,,,6.0,8.0,,1.0,,1.0,,,,,,,
81,,3.48,Gabriel Appelt Pires,4,266,G. Pires,Fluminense,Gabriel Pires,5.14,0.0,71898,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,False,gabriel-pires,5,6,0.0,18,1.0,,5.0,,,,,13.0,8.0,1.0,2.0,,1.0,,,,,,,
82,,2.27,Everson Felipe Marques Pires,1,282,Everson,Atlético-MG,Everson,8.14,0.0,72294,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,False,everson,9,5,0.0,18,3.0,17.0,3.0,10.0,3.0,,,,,,,,,,,,,,,
83,,0.0,Felipe Alves Raymundo,1,266,F. Alves,Fluminense,Felipe Alves,5.0,0.0,72372,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,False,felipe-alves,0,6,0.0,18,,,,,,,,,,,,,,,,,,,,
84,,1.1,Bernard Anício Caldeira Duarte,4,282,Bernard,Atlético-MG,Bernard,10.23,-0.9,72460,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,True,bernard,2,6,-1.68,18,,,1.0,,,,,2.0,5.0,,1.0,,,,,,,,,
